,Number of animals,kgPin/year,Multiform kgPrec/year,Multiform EUR/kgPrec,Multiform EUR/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Crystalactor EUR/year,Ostara Pearl 500 kgPrec/year,Ostara Pearl 500 EUR/kgPrec,Ostara Pearl 500 EUR/year,Ostara Pearl 2K kgPrec/year,Ostara Pearl 2K EUR/kgPrec,Ostara Pearl 2K EUR/year,Ostara Pearl 10K kgPrec/year,Ostara Pearl 10K EUR/kgPrec,Ostara Pearl 10K EUR/year,Nuresys kgPrec/year,Nuresys EUR/kgPrec,Nuresys EUR/year,MAPHEX kgPrec/year,MAPHEX EUR/kgPrec,MAPHEX EUR/year,EcoPhos kgPrec/year,EcoPhos EUR/kgPrec,EcoPhos EUR/year,AshDec depollution kgPrec/year,AshDec depollution EUR/kgPrec,AshDec depollution EUR/year,AshDec Rhenania kgPrec/year,AshDec Rhenania EUR/kgPrec,AshDec Rhenania EUR/year,PASCH kgPrec/year,PASCH EUR/kgPrec,PASCH EUR/year,LEACHPHOS kgPrec/year,LEACHPHOS EUR/kgPrec,LEACHPHOS EUR/year,RecoPhos kgPrec/year,RecoPhos EUR/kgPrec,RecoPhos EUR/year,Thermophos kgPrec/year,Thermophos EUR/kgPrec,Thermophos EUR/year
0,463.6854562474323,7842.822175514696,1411.7079915926452,88.22486097367806,124547.7412936914,1411.7079915926452,134.2638405746462,189541.3367211489,1411.7079915926452,143.30380021769048,202303.1199929095,1411.7079915926452,188.77642638036542,266497.1897454625,1411.7079915926452,580.9778270334369,820171.0413612324,1411.7079915926452,88.8102801306143,125374.18219596971,1411.7079915926452,201.7222348110031,284772.89096462115,4470.408640043376,13.4,59903.47577658124,4705.693305308818,10.700000000000001,50350.918366804355,4705.693305308818,10.8,50821.48769733524,4313.552196533084,13.600000000000001,58664.309872849946,4235.123974777936,14.0,59291.73564689111,4784.121527063964,11.4,54538.985408529195,4470.408640043376,11.600000000000001,51856.74022450317
1,1030.150829015347,17424.074137048483,3136.333344668727,53.843324133514116,168870.6128677467,3136.333344668727,62.37515044440235,195629.26421750747,3136.333344668727,71.41513227916587,223981.66068107588,3136.333344668727,91.88300437626702,288175.73043362884,3136.333344668727,268.41840121376464,841849.5820493988,3136.333344668727,45.677079367499516,143258.54710736865,3136.333344668727,192.34545203641292,603259.4549171812,9931.722258117634,13.4,133085.0782587763,10454.44448222909,10.700000000000001,111862.55595985128,10454.44448222909,10.8,112908.00040807418,9583.240775376666,13.600000000000001,130332.07454512267,9409.000034006182,14.0,131726.00047608654,10628.685223599574,11.4,121167.01154903515,9931.722258117634,11.600000000000001,115207.97819416456
2,633.6626415380349,10717.83328523848,1929.2099913429263,71.45284510542977,137847.5426872736,1929.2099913429263,99.19506929728044,191368.11878026737,1929.2099913429263,108.23503976589862,208808.12012977057,1929.2099913429263,141.50983620621116,273002.18988232355,1929.2099913429263,428.50495550390696,826676.0414980934,1929.2099913429263,67.76902385953916,130740.67793338011,1929.2099913429263,197.1480486651172,380339.98525850556,6109.164972585932,13.4,81862.8106326515,6430.699971143087,10.700000000000001,68808.48969123104,6430.699971143087,10.8,69451.55968834534,5894.808306881164,13.600000000000001,80169.39297358383,5787.6299740287795,14.0,81026.81963640291,6537.878303995472,11.4,74531.8126655484,6109.164972585932,11.600000000000001,70866.31368199682
3,1052.4661891687845,17801.51837021974,3204.273306639553,53.24660338332042,170616.66989039694,3204.273306639553,61.12746121793215,195869.0922832645,3204.273306639553,70.16744343785179,224835.66600304915,3204.273306639553,90.20133680753938,289029.73575560225,3204.273306639553,262.99366712109475,842703.5873713722,3204.273306639553,44.928466062711074,143963.08451300615,3204.273306639553,192.18271001363283,615805.9276943336,10146.86547102525,13.4,135967.99731173835,10680.911022131842,10.700000000000001,114285.74793681073,10680.911022131842,10.8,115353.83903902391,9790.835103620857,13.600000000000001,133155.35740924368,9612.81991991866,14.0,134579.47887886123,10858.926205834041,11.4,123791.75874650807,10146.86547102525,11.600000000000001,117703.63946389292
4,681.793511655999,11531.923635500736,2075.7462543901324,68.22294601186395,141613.52464758683,2075.7462543901324,92.4416418350716,191885.39178882402,2075.7462543901324,101.48161438844281,210650.08095627392,2075.7462543901324,132.40739330616205,274844.15070882696,2075.7462543901324,399.1422364714905,828518.0023245969,2075.7462543901324,63.71696863306568,132260.25898117965,2075.7462543901324,196.2671670941447,407400.83695543313,6573.196472235419,13.4,88080.8327279546,6919.154181300441,10.700000000000001,74034.94973991474,6919.154181300441,10.8,74726.86515804478,6342.557999525406,13.600000000000001,86258.78879354552,6227.238763170398,14.0,87181.34268438557,7034.473417655448,11.4,80192.99696127212,6573.196472235419,11.600000000000001,76249.07907793086
5,1234.499637673546,20880.450321574128,3758.481057883343,49.1847121883513,184859.80909736233,3758.481057883343,52.63441337032148,197825.44564515506,3758.481057883343,61.674398212007254,231802.0574361836,3758.481057883343,78.75418889444455,295996.1271887366,3758.481057883343,226.0673835304663,849669.9788045064,3758.481057883343,39.83263892720435,149710.21889340424,3758.481057883343,191.07492150591398,718151.4731165243,11901.856683297252,13.4,159484.87955618318,12528.270192944476,10.700000000000001,134052.4910645059,12528.270192944476,10.8,135305.31808380035,11484.24767686577,13.600000000000001,156185.7684053745,11275.44317365003,14.0,157856.20443110043,12737.074696160218,11.4,145202.65153622648,11901.856683297252,11.600000000000001,138061.53752624814
6,661.3397192708164,11185.966145718518,2013.4739062293331,69.53808781264975,140013.12529985426,2013.4739062293331,95.19148463103343,191665.5703998164,2013.4739062293331,104.2314563355404,209867.3175398927,2013.4739062293331,136.11370201746746,274061.3872924457,2013.4739062293331,411.0980710240886,827735.2389082155,2013.4739062293331,65.36687380132423,131614.49473075217,2013.4739062293331,196.62584213072265,395901.0024205783,6376.000703059554,13.4,85438.40942099802,6711.57968743111,10.700000000000001,71813.90265551288,6711.57968743111,10.8,72485.06062425599,6152.281380145185,13.600000000000001,83671.02676997452,6040.421718688,14.0,84565.904061632,6823.439348888295,11.4,77787.20857732657,6376.000703059554,11.600000000000001,73961.60815549085
7,712.8038833470794,12056.436163320837,2170.1585093977505,66.37299486536388,144039.91960128263,2170.1585093977505,88.5735609710575,192218.6670490009,2170.1585093977505,97.6135347184881,211836.8430017197,2170.1585093977505,127.19389462057092,276030.91275427275,2170.1585093977505,382.32449877603517,829704.7643700426,2170.1585093977505,61.39612083109286,133239.31406560866,2170.1585093977505,195.76263496328104,424835.94808768993,6872.1686130928765,13.4,92087.05941544454,7233.861697992502,10.700000000000001,77402.32016851977,7233.861697992502,10.8,78125.70633831903,6631.039889826461,13.600000000000001,90182.14250163989,6510.475528193253,14.0,91146.65739470554,7354.426059625711,11.4,83840.45707973311,6872.1686130928765,11.600000000000001,79717.15591187737
8,574.9506147232041,9724.772192489749,1750.4589946481547,76.1249720671133,133253.642072218,1750.4589946481547,108.9640650509916,190737.12776193485,1750.4589946481547,118.00403250396417,206561.22010131727,1750.4589946481547,154.67673946186474,270755.2898538703,1750.4589946481547,470.9788369737572,824429.1414696402,1750.4589946481547,73.6304195023785,128887.03009765536,1750.4589946481547,198.4222651092127,347330.0386988821,5543.120149719156,13.4,74277.81000623669,5834.863315493849,10.700000000000001,62433.037475784186,5834.863315493849,10.8,63016.52380733357,5348.6247058693625,13.600000000000001,72741.29599982334,5251.376983944465,14.0,73519.27777522251,5932.1110374187465,11.4,67626.06582657371,5543.120149719156,11.600000000000001,64300.193736742214
9,813.4053223562506,13758.018962865863,2476.443413315855,61.34258542519038,151911.44163197788,2476.443413315855,78.05542889470321,193299.85275983185,2476.443413315855,87.09540588903442,215686.84424397023,2476.443413315855,113.0172861982638,279880.9139965233,2476.443413315855,336.5935038653671,833554.7656122932,2476.443413315855,55.08524353342066,136415.48851923938,2476.443413315855,194.390705115961,481397.5812942463,7842.070808833541,13.4,105083.74883836946,8254.811377719518,10.700000000000001,88326.48174159885,8254.811377719518,10.8,89151.9628793708,7566.910429576225,13.600000000000001,102909.98184223668,7429.330239947566,14.0,104010.62335926593,8392.391567348175,11.4,95673.2638677692,7842.070808833541,11.600000000000001,90968.02138246909
