,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
0,11971.950644279395,AshDec depollution,7183.170386567638,60.00000000000001,10.7,76859.92313627373,RecoPhos,7302.889893010432,61.00000000000001,11.4,83252.94478031893
1,43767.42422905263,AshDec depollution,26260.45453743158,60.0,10.7,280986.86355051794,RecoPhos,26698.128779722105,61.0,11.4,304358.668088832
2,6986.232798658936,AshDec depollution,4191.7396791953615,60.0,10.7,44851.61456739037,RecoPhos,4261.602007181951,61.0,11.4,48582.262881874245
3,33350.33956672657,AshDec depollution,20010.203740035944,60.0,10.7,214109.18001838465,RecoPhos,20343.707135703207,61.0,11.4,231918.26134701655
4,9754.703359425182,AshDec depollution,5852.82201565511,60.0,10.7,62625.19556750968,RecoPhos,5950.3690492493615,61.0,11.4,67834.20716144273
5,31946.820369731093,AshDec depollution,19168.09222183865,59.999999999999986,10.7,205098.58677367365,RecoPhos,19487.560425535965,61.0,11.4,222158.18885111
6,14829.20924823263,AshDec depollution,8897.525548939577,60.0,10.7,95203.52337365349,RecoPhos,9045.817641421903,61.0,11.4,103122.3211122097
7,32963.72138890691,AshDec depollution,19778.232833344144,60.0,10.7,211627.09131678235,RecoPhos,20107.870047233213,61.0,11.4,229229.71853845863
8,37479.25974866156,AshDec depollution,22487.55584919694,60.0,10.7,240616.84758640727,RecoPhos,22862.348446683554,61.0,11.4,260630.77229219253
9,32808.30280287,AshDec depollution,19684.981681722,60.00000000000001,10.7,210629.3039944254,RecoPhos,20013.0647097507,61.0,11.4,228148.937691158
10,10246.72404360872,AshDec depollution,6148.034426165232,60.0,10.7,65783.96835996798,RecoPhos,6250.501666601319,61.0,11.4,71255.71899925504
11,14108.397970447128,AshDec depollution,8465.038782268277,60.0,10.7,90575.91497027058,RecoPhos,8606.122761972747,61.0,11.4,98109.79948648933
12,27839.179766824604,AshDec depollution,16703.50786009476,59.999999999999986,10.7,178727.53410301395,RecoPhos,16981.89965776301,61.00000000000001,11.4,193593.65609849832
13,7342.315970032139,AshDec depollution,4405.389582019284,60.0,10.7,47137.66852760634,RecoPhos,4478.812741719605,61.0,11.4,51058.46525560349
14,36838.1429650987,AshDec depollution,22102.88577905922,60.0,10.7,236500.87783593367,RecoPhos,22471.267208710204,61.0,11.4,256172.44617929636
15,24911.68296067533,AshDec depollution,14947.009776405195,59.999999999999986,10.7,159933.00460753564,RecoPhos,15196.12660601195,61.0,11.4,173235.84330853625
16,30225.26697756197,AshDec depollution,18135.16018653718,60.0,10.7,194046.21399594785,RecoPhos,18437.4128563128,61.0,11.4,210186.5065619659
17,40072.96077858361,AshDec depollution,24043.776467150168,60.0,10.7,257268.40819850683,RecoPhos,24444.506074936,60.999999999999986,11.4,278667.36925427045
18,48338.5414680652,AshDec depollution,29003.12488083912,60.0,10.7,310333.4362249786,RecoPhos,29486.51029551977,60.999999999999986,11.4,336146.2173689254
19,28058.49421696716,AshDec depollution,16835.096530180293,59.999999999999986,10.7,180135.53287292915,RecoPhos,17115.681472349966,61.0,11.4,195118.76878478963
20,11530.883524986082,AshDec depollution,6918.5301149916495,60.0,10.7,74028.27223041066,RecoPhos,7033.83895024151,61.0,11.4,80185.76403275321
21,13601.79741513526,AshDec depollution,8161.078449081155,60.0,10.7,87323.53940516837,RecoPhos,8297.096423232508,61.0,11.4,94586.8992248506
22,38092.7243602513,AshDec depollution,22855.634616150783,60.00000000000001,10.7,244555.2903928134,RecoPhos,23236.561859753296,61.00000000000001,11.4,264896.8052011876
23,49195.57829215252,AshDec depollution,29517.346975291508,60.0,10.7,315835.6126356192,RecoPhos,30009.302758213034,61.0,11.4,342106.0514436286
24,25403.749446582005,AshDec depollution,15242.249667949203,60.0,10.7,163092.07144705649,RecoPhos,15496.287162415025,61.00000000000001,11.4,176657.67365153128
25,25781.58864940596,AshDec depollution,15468.953189643573,59.999999999999986,10.7,165517.79912918626,RecoPhos,15726.769076137633,60.999999999999986,11.4,179285.167467969
26,11214.381958078038,AshDec depollution,6728.629174846823,60.0,10.7,71996.33217086102,RecoPhos,6840.772994427603,61.0,11.4,77984.81213647468
27,3899.8094834267545,AshDec depollution,2339.8856900560527,60.0,10.7,25036.776883599767,RecoPhos,2378.8837848903204,61.0,11.4,27119.275147749653
28,23960.13981981836,AshDec depollution,14376.083891891014,60.0,10.7,153824.09764323386,RecoPhos,14615.685290089195,60.999999999999986,11.4,166618.81230701687
29,25278.60425679184,AshDec depollution,15167.1625540751,59.99999999999998,10.7,162288.6393286036,RecoPhos,15419.94859664302,60.999999999999986,11.4,175787.41400173045
30,26364.294040344004,AshDec depollution,15818.5764242064,59.999999999999986,10.7,169258.7677390085,RecoPhos,16082.219364609842,61.0,11.4,183337.3007565522
31,8840.995900262737,AshDec depollution,5304.597540157642,60.0,10.7,56759.19367968677,RecoPhos,5393.00749916027,61.0,11.4,61480.28549042708
32,24008.07414163769,AshDec depollution,14404.844484982614,60.0,10.7,154131.835989314,RecoPhos,14644.925226398993,61.00000000000001,11.4,166952.1475809485
33,30936.123767343488,AshDec depollution,18561.674260406093,60.0,10.7,198609.9145863452,RecoPhos,18871.035498079527,61.0,11.4,215129.80467810665
34,21636.08892164201,AshDec depollution,12981.653352985206,60.0,10.7,138903.69087694172,RecoPhos,13198.014242201629,61.00000000000001,11.4,150457.36236109855
35,18693.874165306584,AshDec depollution,11216.324499183953,60.00000000000001,10.7,120014.67214126828,RecoPhos,11403.263240837015,61.0,11.4,129997.20094554198
36,25042.15858104241,AshDec depollution,15025.295148625448,60.00000000000001,10.7,160770.6580902923,RecoPhos,15275.716734435871,61.0,11.4,174143.17077256896
37,5684.025616312415,AshDec depollution,3410.415369787449,60.0,10.7,36491.44445672571,RecoPhos,3467.255625950573,61.0,11.4,39526.71413583653
38,5461.76619652205,AshDec depollution,3277.05971791323,60.0,10.7,35064.53898167157,RecoPhos,3331.6773798784507,61.0,11.4,37981.12213061434
39,18487.43615443756,AshDec depollution,11092.461692662531,59.99999999999998,10.7,118689.34011148912,RecoPhos,11277.33605420691,60.999999999999986,11.4,128561.63101795876
40,16242.802256373005,AshDec depollution,9745.681353823802,60.0,10.7,104278.7904859147,RecoPhos,9908.109376387532,61.0,11.4,112952.44689081788
41,4043.711999151769,AshDec depollution,2426.2271994910616,60.00000000000001,10.7,25960.63103455436,RecoPhos,2466.6643194825792,61.00000000000001,11.4,28119.973242101405
42,50600.052328457445,AshDec depollution,30360.031397074465,60.0,10.7,324852.3359486968,RecoPhos,30866.03192035904,61.0,11.4,351872.7638920931
43,35180.15863701135,AshDec depollution,21108.09518220681,60.0,10.7,225856.61844961287,RecoPhos,21459.896768576924,61.0,11.4,244642.82316177693
44,44043.22777542963,AshDec depollution,26425.936665257777,60.0,10.7,282757.52231825824,RecoPhos,26866.368943012072,61.0,11.4,306276.60595033766
45,4083.329237228085,AshDec depollution,2449.9975423368505,59.999999999999986,10.7,26214.973703004303,RecoPhos,2490.8308347091315,61.0,11.4,28395.4715156841
46,31573.99603627647,AshDec depollution,18944.39762176588,59.999999999999986,10.7,202705.05455289496,RecoPhos,19260.13758212865,61.00000000000001,11.4,219565.56843626656
47,43843.51492650056,AshDec depollution,26306.10895590033,59.999999999999986,10.7,281475.3658281336,RecoPhos,26744.54410516534,61.0,11.4,304887.80279888486
48,9359.30605479048,AshDec depollution,5615.583632874287,59.999999999999986,10.7,60086.74487175488,RecoPhos,5709.176693422192,60.999999999999986,11.4,65084.614305013
49,42109.267277603554,AshDec depollution,25265.56036656213,60.0,10.7,270341.4959222148,RecoPhos,25686.65303933817,61.0,11.4,292827.84464845515
50,16419.84866778529,AshDec depollution,9851.909200671173,60.0,10.7,105415.42844718156,RecoPhos,10016.107687349026,61.0,11.4,114183.62763577887
51,38264.04807851898,AshDec depollution,22958.428847111387,60.0,10.7,245655.18866409187,RecoPhos,23341.069327896577,61.0,11.4,266088.19033802097
52,21913.53071112858,AshDec depollution,13148.118426677149,60.0,10.7,140684.8671654455,RecoPhos,13367.253733788431,60.999999999999986,11.4,152386.69256518813
53,19437.69197929919,AshDec depollution,11662.615187579511,59.999999999999986,10.7,124789.9825071008,RecoPhos,11856.992107372504,60.999999999999986,11.4,135169.71002404657
54,21732.239733753875,AshDec depollution,13039.343840252324,60.0,10.7,139520.9790906999,RecoPhos,13256.666237589863,61.0,11.4,151125.99510852445
55,36050.90807161305,AshDec depollution,21630.54484296783,60.0,10.7,231446.8298197558,RecoPhos,21991.05392368396,61.00000000000001,11.4,250698.0147299971
56,31675.151400821844,AshDec depollution,19005.090840493107,60.0,10.7,203354.47199327627,RecoPhos,19321.842354501325,61.0,11.4,220269.00284131512
57,39064.49169813776,AshDec depollution,23438.695018882656,60.0,10.7,250794.03670204445,RecoPhos,23829.339935864034,61.0,11.4,271654.47526885
58,13324.967556168223,AshDec depollution,7994.980533700934,60.0,10.7,85546.2917106,RecoPhos,8128.230209262616,61.0,11.4,92661.82438559382
59,6610.871726012928,AshDec depollution,3966.523035607757,60.0,10.7,42441.796481003,RecoPhos,4032.631752867886,61.0,11.4,45972.0019826939
60,13736.18150980488,AshDec depollution,8241.708905882928,60.0,10.7,88186.28529294733,RecoPhos,8379.070720980975,60.999999999999986,11.4,95521.40621918312
61,15825.265233140955,AshDec depollution,9495.159139884574,60.00000000000001,10.7,101598.20279676496,RecoPhos,9653.411792215984,61.00000000000001,11.4,110048.89443126222
