,Number of animals,kgPin/year,Multiform kgPrec/year,Multiform EUR/kgPrec,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Ostara Pearl 500 kgPrec/year,Ostara Pearl 500 EUR/kgPrec,Ostara Pearl 2K kgPrec/year,Ostara Pearl 2K EUR/kgPrec,Ostara Pearl 10K kgPrec/year,Ostara Pearl 10K EUR/kgPrec,Nuresys kgPrec/year,Nuresys EUR/kgPrec,MAPHEX kgPrec/year,MAPHEX EUR/kgPrec
0,1891.4114757181571,18225.64098002016,3280.615376403629,52.605575869891474,3280.615376403629,59.7871305488266,3280.615376403629,68.82711318250037,3280.615376403629,88.3948047242396,3280.615376403629,257.1661442717407,3280.615376403629,44.12426790950021,3280.615376403629,192.00788432815222
1,4359.696013747909,42010.030788474854,7561.805541925473,37.37272094215807,7561.805541925473,27.936605867814023,7561.805541925473,36.976598333603235,7561.805541925473,45.46584992790001,7561.805541925473,118.6856449287097,7561.805541925473,25.01395900016194,7561.805541925473,191.03693869572257
2,1303.407175246984,12559.631540679939,2260.7336773223888,64.74345159943988,2260.7336773223888,85.16633309051123,2260.7336773223888,94.20630788973793,2260.7336773223888,122.6015454166033,2260.7336773223888,367.5104690858171,2260.7336773223888,59.351784733842756,2260.7336773223888,195.3182140725745
3,1099.2518486839208,10592.39081391826,1906.6303465052868,71.99468217137478,1906.6303465052868,100.32800169398757,1906.6303465052868,109.36797181287454,1906.6303465052868,143.03683157387437,1906.6303465052868,433.43074701249793,1906.6303465052868,68.44878308772472,1906.6303465052868,197.29582241037494
4,3052.516945202452,29414.05328397083,5294.529591114749,42.37132922590316,5294.529591114749,38.38824459656456,5294.529591114749,47.428233835979334,5294.529591114749,59.55283690936345,5294.529591114749,164.12753841730145,5294.529591114749,31.284940301587604,5294.529591114749,193.76345230503807
5,3644.140479327176,35114.93765879667,6320.688778583401,39.6647511532031,6320.688778583401,32.729034152127674,6320.688778583401,41.76902513851557,6320.688778583401,51.92520779539055,6320.688778583401,139.52228321093725,6320.688778583401,27.88941508310934,6320.688778583401,192.28713699265623
6,2903.682097343054,27979.88068999767,5036.37852419958,43.225856224992235,5036.37852419958,40.17498341894551,5036.37852419958,49.214972106801945,5036.37852419958,61.96104936134175,5036.37852419958,171.89596568174758,5036.37852419958,32.356983264081165,5036.37852419958,194.22955794090484
7,3348.781357679222,32268.857162596985,5808.394289267457,40.89642805118391,5808.394289267457,35.30435937016992,5808.394289267457,44.34434956156636,5808.394289267457,55.396297235154655,5808.394289267457,150.71934591985374,5808.394289267457,29.434609736939812,5808.394289267457,192.9589607551912
8,1475.340656469534,14216.38256574043,2558.9488618332775,60.19339970261244,2558.9488618332775,75.65258527847492,2558.9488618332775,84.69256301455329,2558.9488618332775,109.77867188918052,2558.9488618332775,326.14636093284037,2558.9488618332775,53.64353780873197,2558.9488618332775,194.0772908279852
9,2347.826042694497,22623.651747404176,4072.2573145327515,47.3751641883632,4072.2573145327515,48.85081183872904,4072.2573145327515,57.89079784839579,4072.2573145327515,73.65455362175084,4072.2573145327515,209.61694716693822,4072.2573145327515,37.56247870903747,4072.2573145327515,196.4928168300163
10,1308.81954485559,12611.785134228467,2270.121324161124,64.5819949710739,2270.121324161124,84.82874185426034,2270.121324161124,93.86871675769996,2270.121324161124,122.14653128211731,2270.121324161124,366.04268155521714,2270.121324161124,59.14923005461997,2270.121324161124,195.27418044665652
11,3953.193585033445,38092.97338538227,6856.735209368808,38.573013644913054,6856.735209368808,30.446309566490644,6856.735209368808,39.48630125754548,6856.735209368808,48.84849299930042,6856.735209368808,129.59739677193684,6856.735209368808,26.519780754527282,6856.735209368808,191.6916438063162
12,1721.6098993787195,16589.43299041334,2986.0979382744013,55.25926018982747,2986.0979382744013,65.3357449306163,2986.0979382744013,74.37572585145745,2986.0979382744013,95.87336962587744,2986.0979382744013,281.2905471802498,2986.0979382744013,47.45343551087447,2986.0979382744013,192.73161641540747
13,1599.0829732212926,15408.763529960377,2773.5774353928678,57.52418662028728,2773.5774353928678,70.07150165621205,2773.5774353928678,79.11148111514615,2773.5774353928678,102.2563441117187,2773.5774353928678,301.8807874571571,2773.5774353928678,50.29488866908768,2773.5774353928678,193.3493236237147
14,2099.6399980791866,20232.131021491045,3641.7835838683877,49.9372573430081,3641.7835838683877,54.207917361246665,3641.7835838683877,63.247901717198744,3641.7835838683877,80.87499796665918,3641.7835838683877,232.9087031182554,3641.7835838683877,40.77674103031924,3641.7835838683877,191.28016109354766
15,505.5930286820453,4871.894424380189,876.940996388434,126.35311836631634,876.940996388434,213.98658518749235,876.940996388434,223.0265202204796,876.940996388434,296.2287881232551,876.940996388434,927.5983487846939,876.940996388434,136.64391213228774,876.940996388434,212.12085046354082
16,1855.522089221491,17879.810851738286,3218.365953312891,53.12598175291443,3218.365953312891,60.87525227650021,3218.365953312891,69.91523457427563,3218.365953312891,89.86140312184975,3218.365953312891,261.89710684467667,3218.365953312891,44.77714074456537,3218.365953312891,192.14981320534028
17,1793.458291217782,17281.76409417455,3110.7175369514184,54.07507580204924,3110.7175369514184,62.859722264560986,3110.7175369514184,71.89970394973933,3110.7175369514184,92.53612271486605,3110.7175369514184,270.52523456408403,3110.7175369514184,45.967822369843596,3110.7175369514184,192.4086570369225
18,2561.2671449481654,24680.370208720524,4442.466637569694,45.56888211231404,4442.466637569694,45.07403905929873,4442.466637569694,54.114026234838455,4442.466637569694,68.56412231652139,4442.466637569694,193.19620102103676,4442.466637569694,35.29641574090307,4442.466637569694,195.50757206126218
