,Facilities,kgPin/year,Specific phosphorus flow (kg/year facility),Multiform kgPrec/year,Multiform EUR/kgPrec,Multiform EUR/year,Ostara Pearl 500 kgPrec/year,Ostara Pearl 500 EUR/kgPrec,Ostara Pearl 500 EUR/year,Ostara Pearl 2K kgPrec/year,Ostara Pearl 2K EUR/kgPrec,Ostara Pearl 2K EUR/year,Ostara Pearl 10K kgPrec/year,Ostara Pearl 10K EUR/kgPrec,Ostara Pearl 10K EUR/year
Cattle,7,2222000.0,317.42857142857144,399960.0,31.868945715096352,12746303.528209938,177760.0,32.21187673614671,5725983.2086174395,177760.0,22.596850255713967,4016816.101455715,177760.0,20.114096939170302,3575481.871906913
Swine,6,621000.0,103.5,111780.0,32.07577519160069,3585430.1509171254,49680.0,34.17467296080817,1697797.7526929497,49680.0,25.614171509305272,1272512.040582286,49680.0,31.751889531137536,1577433.871906913
Poultry,17,904000.0,53.1764705882353,162720.0,32.36403162718589,5266275.226375688,72320.0,33.46373968155599,2420097.653770129,72320.0,22.479204100971874,1625696.040582286,72320.0,26.695490485438505,1930617.8719069127
