ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Stuttgart process kgPrec/year,Stuttgart process EUR/kgPrec,Stuttgart process EUR/year,Gifhorn process kgPrec/year,Gifhorn process EUR/kgPrec,Gifhorn process EUR/year,PHOXNAN kgPrec/year,PHOXNAN EUR/kgPrec,PHOXNAN EUR/year,Aqua Reci kgPrec/year,Aqua Reci EUR/kgPrec,Aqua Reci EUR/year,MEPHREC kgPrec/year,MEPHREC EUR/kgPrec,MEPHREC EUR/year,EcoPhos kgPrec/year,EcoPhos EUR/kgPrec,EcoPhos EUR/year,AshDec depollution kgPrec/year,AshDec depollution EUR/kgPrec,AshDec depollution EUR/year,AshDec Rhenania kgPrec/year,AshDec Rhenania EUR/kgPrec,AshDec Rhenania EUR/year,PASCH kgPrec/year,PASCH EUR/kgPrec,PASCH EUR/year,LEACHPHOS kgPrec/year,LEACHPHOS EUR/kgPrec,LEACHPHOS EUR/year,RecoPhos kgPrec/year,RecoPhos EUR/kgPrec,RecoPhos EUR/year,Thermophos kgPrec/year,Thermophos EUR/kgPrec,Thermophos EUR/year
375,Stelco Inc.,Lake Erie,Haldimand County,ON,42.794,-80.109,operational,3528.0,Haldimand-Norfolk,162.31300000000002,164.763,135.975,125.563,161.70000000000002,202.125,187.645,thousand m3,517.432513562615,206.973005425046,37.71415505188019,7805.812018153825,206.973005425046,36.43505681015744,7541.073210830576,263.8905819169336,57.76449928115983,15243.507329445561,315.63383327319514,56.06840638578437,17697.086033064414,351.8541092225782,170.90589522437813,60133.94152506084,424.2946611213443,12.5,5303.683264016804,444.9919616638489,9.8,4360.921224305719,444.9919616638489,9.9,4405.4204204721045,408.77168571446583,12.7,5191.400408573716,403.5973605788397,13.1,5287.1254235828,450.166286799475,10.5,4726.746011394488,419.12033598571816,10.7,4484.587595047184
503,Regional Municipality of Durham,Duffin Creek WPCP,Pickering,ON,43.8156,-79.0484,operational,3518.0,Durham,125615.302,125187.393,116781.059,116277.13,121734.342,125252.937,124847.107,thousand m3,344266.8463643088,137706.73854572352,18.44887204302359,2540533.998892158,137706.73854572352,11.30764026016457,1557138.2608755794,175576.09164579748,20.41617479292812,3584592.176499768,210002.77628222835,17.400861282434324,3654229.1790131447,234101.45552773,13.544745953622703,3170844.742496406,282298.8140187332,12.5,3528735.175234165,296069.48787330557,9.8,2901480.981158395,296069.48787330557,9.9,2931087.929945725,271970.808627804,12.7,3454029.2695731106,268528.14016416087,13.1,3517718.6361505073,299512.1563369486,10.5,3144877.6415379606,278856.14555509016,10.7,2983760.7574394643
1412,Bruce Power LP,Bruce Power,Tiverton,ON,44.3233,-81.5875,operational,3541.0,Bruce,376.6781,411.127,411.6526,389.8714,391.904,353.07450000000006,340.755,thousand m3,939.6345021664783,375.85380086659137,35.318545155505326,13274.609437775014,375.85380086659137,32.725064239403366,12299.839777983123,479.21359610490396,52.5054245717224,25161.313324029878,573.1770463215518,50.35925181442963,28864.767209958023,638.9514614732053,135.42723130094566,86531.42736300905,770.5002917765122,12.5,9631.253647206402,808.0856718631713,9.8,7919.2395842590795,808.0856718631713,9.9,8000.048151445397,742.3112567115179,12.7,9427.352960236276,732.9149116898532,13.1,9601.185343137076,817.4820168848362,10.5,8583.56117729078,761.1039467548475,10.7,8143.812230276867
1436,The Corporation of the City of Barrie,Water Pollution Control Centre,Barrie,ON,44.3776,-79.692,operational,3543.0,Simcoe,18676.695,18465.94,17527.87,17707.779,18509.843,18110.898,18197.07,thousand m3,50178.558818912585,20071.423527565035,22.80191333217971,457666.85972901067,20071.423527565035,15.992628413557274,320994.81820747856,25591.06499764542,27.783995378301864,711022.0316204029,30608.920879536676,24.610396348227802,753297.6746369431,34121.41999686056,28.705023093207846,979456.1489829264,41146.418231508316,12.5,514330.22789385397,43153.56058426482,9.8,422904.89372579526,43153.56058426482,9.9,427220.24978422176,39641.06146694094,12.7,503441.4806301499,39139.27587875182,13.1,512724.5140116488,43655.34617245395,10.5,458381.1348107665,40644.63264331919,10.7,434897.56928351533
7059,City of Sarnia,Water Pollution Control Centre,Sarnia,ON,42.9528,-82.4065,operational,3538.0,Lambton,8504.6068,7976.2739,8365.631,9427.261,10084.169,10682.976,11979.806,thousand m3,33034.406089011136,13213.762435604454,23.874922774145496,315477.55770596105,13213.762435604454,17.242456900285287,227837.72928651853,16847.54710539568,29.70591725121218,500471.8401987833,20150.987714296793,26.533705864980362,534680.380899984,22463.396140527573,33.7880443842082,758994.2258161968,27088.21299298913,12.5,338602.66241236415,28409.589236549575,9.8,278413.97451818583,28409.589236549575,9.9,281254.9334418408,26097.180810318798,12.7,331434.1962910487,25766.836749428687,13.1,337545.5614175158,28739.93329743969,10.5,301769.29962311673,26757.868932099023,10.7,286309.19757345953
7391,DEPARTMENT OF NATIONAL DEFENCE,4th Canadian Division Training Centre,Meaford,ON,44.6653,-80.6754,operational,3542.0,Grey,103.055,96.526,93.426,113.827,113.865,112.505,106.914,thousand m3,294.8161675239596,117.92646700958386,40.121544979414715,4731.392050388485,117.92646700958386,40.3175270816881,4754.503527306695,150.3562454372194,63.20470374935561,9503.221949724853,179.83786218961538,62.04297977808443,11157.67684716424,200.47499391629256,212.83104955516743,42667.30336477035,241.74925736964687,12.5,3021.865717120586,253.54190407060528,9.8,2484.7106598919318,253.54190407060528,9.9,2510.0648502989925,232.9047723439281,12.7,2957.8906087678865,229.9566106686885,13.1,3012.4315997598196,256.49006574584484,10.5,2693.145690331371,238.8010956944073,10.7,2555.171723930158
7890,The Corporation of the City of Belleville,Belleville Wastewater Treatment Facility,Belleville,ON,44.1572,-77.3725,operational,3512.0,Hastings,9264.721,10250.0387,8143.523,7614.18,12558.3369,11844.732,12071.088,thousand m3,33286.11689773517,13314.44675909407,23.854995891539815,317616.0727363146,13314.44675909407,17.218913944071474,229260.31295776213,16975.91961784494,29.66986061156607,503673.16881460923,20304.531307618454,26.497476580547072,538018.8428026048,22634.559490459917,33.68816612087334,762516.8001874039,27294.61585614284,12.5,341182.6982017855,28626.060532052245,9.8,280535.39321411203,28626.060532052245,9.9,283397.99926731724,26296.032349210785,12.7,333959.61083497695,25963.171180233432,13.1,340117.54246105795,28958.921701029598,10.5,304068.67786081077,26961.75468716549,10.7,288490.7751526707
8469,Canadian Nuclear Laboratories,Chalk River Laboratories,Chalk River,ON,46.0524,-77.3618,operational,3547.0,Renfrew,207.058,208.807,210.019,205.702,227.476,210.652,166.038,thousand m3,457.85104685395004,183.14041874158002,38.22509976593899,7000.560777572739,183.14041874158002,37.246267807179336,6821.2970827678555,233.5040338955145,58.90629847626963,13754.858316062158,279.28913858090954,57.316745535703326,16007.944486927774,311.33871186068603,179.25758853313152,55809.826705158055,375.437858420239,12.5,4692.973230252987,393.75190029439705,9.8,3858.768622885091,393.75190029439705,9.9,3898.143812914531,361.70232701462055,12.7,4593.61955308568,357.12381654608106,13.1,4678.321996753662,398.33041076293654,10.5,4182.4693130108335,370.85934795169953,10.7,3968.195023083185
8493,The Corporation of the Town of Kirkland Lake,Kirkland Lake Wastewater Treatment Plant,Kirkland Lake,ON,48.1372,-80.0363,operational,3554.0,Timiskaming,2981.938,3228.647,3246.835,2629.072,3309.3116,3332.083,4116.549,thousand m3,11351.415152408368,4540.566060963348,26.85176205375188,121922.19945832927,4540.566060963348,20.897970816152466,94888.6170308244,5789.221727728268,35.24273516033336,204028.00813477486,6924.363242969104,32.15902548096604,222680.77397010804,7718.962303637691,51.24960109896987,395593.73895941715,9308.160424974862,12.5,116352.00531218576,9762.217031071197,9.8,95669.72690449774,9762.217031071197,9.9,96645.94860760485,8967.61797040261,12.7,113888.74822411315,8854.103818878528,13.1,115988.76002730872,9875.73118259528,10.5,103695.17741725044,9194.646273450779,10.7,98382.71512592332
8983,City of Thunder Bay,Water Pollution Control Plant,Thunder Bay,ON,48.3964,-89.2259,operational,3558.0,Thunder Bay,29879.089,85751.5,29331.59,31344.5,30286.1863,25684.939,26317.148,thousand m3,72569.73561480104,29027.89424592042,21.895011687223185,635566.0837699062,29027.89424592042,14.965013822434186,434402.83862635685,37010.565163548534,26.19127984774476,969354.0695216929,44267.53872502864,23.029042631579053,1019439.0364937611,49347.42021806471,24.85795121300746,1226675.7642684306,59507.183204136854,12.5,743839.7900517107,62409.972628728894,9.8,611617.7317615432,62409.972628728894,9.9,617858.7290244161,57330.091135692826,12.7,728092.1574232988,56604.393779544815,13.1,741517.558512037,63135.669984876906,10.5,662924.5348412076,58781.48584798885,10.7,628961.8985734807
