,Number of animals,kgPin/year,Multiform kgPrec/year,Multiform EUR/kgPrec,Multiform EUR/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Crystalactor EUR/year,Ostara Pearl 500 kgPrec/year,Ostara Pearl 500 EUR/kgPrec,Ostara Pearl 500 EUR/year,Ostara Pearl 2K kgPrec/year,Ostara Pearl 2K EUR/kgPrec,Ostara Pearl 2K EUR/year,Ostara Pearl 10K kgPrec/year,Ostara Pearl 10K EUR/kgPrec,Ostara Pearl 10K EUR/year,Nuresys kgPrec/year,Nuresys EUR/kgPrec,Nuresys EUR/year,MAPHEX kgPrec/year,MAPHEX EUR/kgPrec,MAPHEX EUR/year,EcoPhos kgPrec/year,EcoPhos EUR/kgPrec,EcoPhos EUR/year,AshDec depollution kgPrec/year,AshDec depollution EUR/kgPrec,AshDec depollution EUR/year,AshDec Rhenania kgPrec/year,AshDec Rhenania EUR/kgPrec,AshDec Rhenania EUR/year,PASCH kgPrec/year,PASCH EUR/kgPrec,PASCH EUR/year,LEACHPHOS kgPrec/year,LEACHPHOS EUR/kgPrec,LEACHPHOS EUR/year,RecoPhos kgPrec/year,RecoPhos EUR/kgPrec,RecoPhos EUR/year,Thermophos kgPrec/year,Thermophos EUR/kgPrec,Thermophos EUR/year
0,1242.4191204108963,11971.950644279397,2154.9511159702915,66.66002236691911,143649.08959019693,2154.9511159702915,89.17370956866347,192164.984950202,2154.9511159702915,98.21368313083084,211645.68606633652,2154.9511159702915,128.002790306772,275839.75581888953,2154.9511159702915,384.9338396992645,829513.6074346594,2154.9511159702915,61.7562098784985,133081.6133957659,2154.9511159702915,195.8409151909779,422027.59874344105,6824.0118672392555,13.4,91441.75902100603,7183.170386567638,10.700000000000001,76859.92313627373,7183.170386567638,10.8,77578.2401749305,6584.572854353669,13.600000000000001,89550.1908192099,6464.853347910875,14.0,90507.94687075225,7302.889893010432,11.4,83252.94478031893,6824.0118672392555,11.600000000000001,79158.53765997538
1,4542.073913351248,43767.42422905263,7878.136361229474,36.90402616336351,290734.9503933579,7878.136361229474,26.956607391449683,212367.82886596693,7878.136361229474,35.996600159760064,283586.12459924445,7878.136361229474,44.14498282402444,347780.1943517975,7878.136361229474,114.42478330330465,901454.0459675675,7878.136361229474,24.42596009585604,192431.04438910363,7878.136361229474,190.78128699819825,1503000.9941426616,24947.431810559996,13.4,334295.586261504,26260.45453743158,10.700000000000001,280986.86355051794,26260.45453743158,10.8,283612.9090042611,24072.08332597895,13.600000000000001,327380.33323331375,23634.40908368842,14.0,330881.7271716379,26698.128779722105,11.4,304358.668088832,24947.431810559996,11.600000000000001,289390.209002496
2,725.0137815129656,6986.232798658936,1257.5219037586085,95.89110016767069,120585.15883635666,1257.5219037586085,150.2932547466579,188997.05983109478,1257.5219037586085,159.33320944149324,200365.00086883566,1257.5219037586085,210.38128229070827,264559.0706213887,1257.5219037586085,650.6709106151881,818232.9222371586,1257.5219037586085,98.42792566489595,123775.27246513075,1257.5219037586085,203.81302731845562,256299.34612430958,3982.1526952355935,13.4,53360.84611615695,4191.7396791953615,10.700000000000001,44851.614567390374,4191.7396791953615,10.8,45270.788535309905,3842.428039262415,13.600000000000001,52257.02133396885,3772.565711275826,14.0,52815.91995786156,4261.602007181951,11.4,48582.262881874245,3982.1526952355935,11.600000000000001,46192.97126473289
3,3461.014898996116,33350.33956672657,6003.061122010783,40.40363937926965,242545.51674543752,6003.061122010783,34.27398273809469,205748.8132715249,6003.061122010783,43.31397324756382,260016.4288422655,6003.061122010783,54.007529159759926,324210.4985948185,6003.061122010783,146.2394489024514,877884.3502105884,6003.061122010783,28.816383948538288,172986.51415840577,6003.061122010783,192.69016693414707,1156730.849716146,19009.693553034143,13.4,254729.89361065754,20010.203740035944,10.700000000000001,214109.18001838462,20010.203740035944,10.8,216110.20039238821,18342.686761699617,13.600000000000001,249460.5399591148,18009.18336603235,14.0,252128.5671244529,20343.707135703207,11.4,231918.26134701658,19009.693553034143,11.600000000000001,220512.4452151961
4,1012.318738005934,9754.703359425182,1755.8466046965327,75.97024893499498,133392.10365046133,1755.8466046965327,108.64055294760472,190756.14602540564,1755.8466046965327,117.68052050044403,206628.94235962536,1755.8466046965327,154.24070154407673,270823.0121121784,1755.8466046965327,469.5722630454089,824496.8637279483,1755.8466046965327,73.43631230026642,128942.89961385702,1755.8466046965327,198.38006789136224,348324.96864651603,5560.180914872353,13.4,74506.42425928953,5852.82201565511,10.700000000000001,62625.19556750968,5852.82201565511,10.8,63210.47776907519,5365.0868476838505,13.600000000000001,72965.18112850038,5267.539814089599,14.0,73745.55739725438,5950.3690492493615,11.4,67834.20716144273,5560.180914872353,11.600000000000001,64498.09861251931
5,3315.36118407338,31946.820369731093,5750.427666551596,41.04961415534022,236052.83694013645,5750.427666551596,35.62465768682596,204857.017173754,5750.427666551596,44.66464777934774,256840.82630714355,5750.427666551596,55.828003528686075,321034.89605969656,5750.427666551596,152.11194686672928,874708.7476754665,5750.427666551596,29.626788667608643,170366.70522529405,5750.427666551596,193.04251681200375,1110077.029496498,18209.68761074672,13.4,244009.81398400606,19168.092221838655,10.700000000000001,205098.58677367363,19168.092221838655,10.8,207015.39599585749,17570.7512033521,13.600000000000001,238962.2163655886,17251.28299965479,14.0,241517.96199516708,19487.560425535965,11.4,222158.18885111,18209.68761074672,11.600000000000001,211232.376284662
6,1538.9382781478446,14829.20924823263,2669.2576646818734,58.76793760589621,156866.76789208455,2669.2576646818734,72.67207270163362,193980.48706715388,2669.2576646818734,81.712051357783,218110.51938364113,2669.2576646818734,105.76146052570749,282304.5891361941,2669.2576646818734,313.1876145990565,835978.4407519641,2669.2576646818734,51.85523081466979,138414.972305905,2669.2576646818734,193.68852843797168,517004.5890940089,8452.649271492599,13.4,113265.50023800082,8897.525548939577,10.700000000000001,95203.52337365349,8897.525548939577,10.8,96093.27592854743,8156.065086527947,13.600000000000001,110922.48517678009,8007.77299404562,14.0,112108.82191663868,9045.817641421903,11.4,103122.3211122097,8452.649271492599,11.600000000000001,98050.73154931417
7,3420.892630646213,32963.72138890691,5933.469850003244,40.57609242839789,240757.0210548438,5933.469850003244,34.63456649758252,205503.15608133833,5933.469850003244,43.67455689574105,259141.66655313078,5933.469850003244,54.493533207303145,323335.7363056838,5933.469850003244,147.80720389452625,877009.5879214535,5933.469850003244,29.032734137444628,172264.85266768764,5933.469850003244,192.78423223367156,1143879.4295145136,18789.321191676936,13.4,251776.90396847096,19778.232833344144,10.700000000000001,211627.09131678235,19778.232833344144,10.8,213604.91460011675,18130.0467638988,13.600000000000001,246568.63598902372,17800.409550009732,14.0,249205.73370013625,20107.870047233213,11.4,229229.71853845863,18789.321191676936,11.600000000000001,217956.1258234525
8,3889.503917461764,37479.25974866156,6746.266754759081,38.783806069111264,261645.9015070688,6746.266754759081,30.88705749859838,208372.32915512644,6746.266754759081,39.92704905359628,269358.5236459116,6746.266754759081,49.44254437658629,333552.5933984646,6746.266754759081,131.51369153737514,887226.4450142345,6746.266754759081,26.784229432157765,180693.55657000563,6746.266754759081,191.8066214922425,1293978.6339157743,21363.178056737088,13.4,286266.585960277,22487.55584919694,10.700000000000001,240616.84758640727,22487.55584919694,10.8,242865.60317132695,20613.59286176386,13.600000000000001,280344.8629199885,20238.800264277244,14.0,283343.20369988144,22862.348446683554,11.4,260630.77229219253,21363.178056737088,11.600000000000001,247812.86545815025
9,3404.763678172478,32808.30280287,5905.4945045166,40.646563042646605,240038.05467583705,5905.4945045166,34.78191419104268,205404.4031117705,5905.4945045166,43.821904543715625,258790.01646036364,5905.4945045166,54.69213221109497,322984.08621291665,5905.4945045166,148.44784584224183,876657.9378286864,5905.4945045166,29.121142726229372,171974.7483349911,5905.4945045166,192.82267075053448,1138713.222463495,18700.7325976359,13.4,250589.81680832105,19684.981681721998,10.700000000000001,210629.3039944254,19684.981681721998,10.8,212597.8021625976,18044.5665415785,13.600000000000001,245406.10496546765,17716.4835135498,14.0,248030.7691896972,20013.0647097507,11.4,228148.93769115797,18700.7325976359,11.600000000000001,216928.49813257647
