ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Ostara Pearl kgPrec/year,Ostara Pearl EUR/kgPrec,P RoC kgPrec/year,P RoC EUR/kgPrec,REMNUT kgPrec/year,REMNUT EUR/kgPrec,AirPrex kgPrec/year,AirPrex EUR/kgPrec,PRISA kgPrec/year,PRISA EUR/kgPrec
12474,The Regional Municipality of Halton,Oakville Southwest Wastewater Treatment Plant,Oakville,ON,43.4133,-79.6933,operational,3524.0,Halton,10767.169,9988.987,8927.246000000001,10398.798,11117.033,10342.521,10421.86,thousand m3,4717.239231323334,1792.550907902867,36.07851605112843,943.4478462646669,53.73779656114934,1273.6545924573002,7.644798372415172,2217.102438721967,37.09185232659419,707.5858846985001,38.540916737294815,849.1030616382001,70.9308271869858
12505,City of Owen Sound,Owen Sound WPCP,Owen Sound,ON,44.5846,-80.9326,operational,3542.0,Grey,4001.53,3144.7634,3899.405,3756.3982,5097.9310000000005,4765.559,5194.568,thousand m3,2351.213695000392,893.461204100149,47.99886232963082,470.2427390000784,83.90989279879027,634.8276976501058,8.910316103534319,1105.070436650184,38.674282923453646,352.6820542500588,59.34818420927088,423.21846510007055,105.48741016122328
12571,The Regional Municipality of Halton,Burlington Skyway Wastewater Treatment Plant,Burlington,ON,43.3088,-79.8019,operational,3524.0,Halton,36346.5485,35841.378000000004,30941.912,35762.088,37230.636,37078.714,40440.7,thousand m3,18304.645867645268,6955.765429705201,20.692385472206418,3660.9291735290535,22.563208676870296,4942.254384264223,5.6730143370113595,8603.183557793276,34.193701513535096,2745.69688014679,16.627253355678523,3294.8362561761483,32.74742602646993
13726,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,ON,43.8696,-78.7245,decommissioned,3518.0,Durham,92.6169,,,,,,,thousand m3,,,,,,,,,,,,,
14028,Corporation of the City of Guelph,City of Guelph Wastewater Treatment Plant,Guelph,ON,43.522,-80.264,operational,3523.0,Wellington,18031.737,19715.291,18539.329,14937.613,21098.06,20000.901,20684.802,thousand m3,9362.547519018231,3557.768057226928,27.238874053617472,1872.5095038036463,34.65356580811397,2527.8878301349228,6.57462045072271,4400.397333938568,35.59722585463186,1404.3821278527346,25.196733235337774,1685.2585534232817,47.98909154658009
14215,City of Ottawa,Robert O. Pickard Environmental Centre,Gloucester,ON,45.4641,-75.5929,operational,3506.0,Ottawa,140180.1536,143603.0564,129239.4072,144176.0,171551.0,151524.0,159012.0,thousand m3,71973.4907829491,27349.926497520657,11.803748663270163,14394.69815658982,9.393980820412985,19432.84251139626,4.197584130343986,33827.540667986075,31.497018255277098,10796.023617442364,7.114781189885052,12955.228340930837,15.005441063882456
14286,Corporation of the City of London,Greenway Pollution Control Centre,London,ON,42.976,-81.2822,operational,3539.0,Middlesex,47407.072,44800.494,40390.148,43016.832,44084.445,42357.119,43297.317,thousand m3,19597.634430268947,7447.1010835022,20.121354313520126,3919.5268860537894,21.598807537681033,5291.361296172616,5.588465452650654,9210.888182226405,34.053956508027035,2939.6451645403417,15.938310210337486,3527.5741974484104,31.497859889519113
14287,Corporation of the City of London,Oxford Pollution Control Plant,London,ON,42.9684,-81.3436,operational,3539.0,Middlesex,3610.421,3490.188,3267.965,3441.985,3730.452,3930.48,4015.611,thousand m3,1817.5832094207292,690.6816195798771,53.341846103915366,363.5166418841459,98.93814389397338,490.7474665435969,9.42949918968495,854.2641084277427,39.27626106203167,272.63748141310936,69.61808491961078,327.16497769573124,122.15897396858688
14288,Corporation of the City of London,Pottersburg Pollution Control Plant,London,ON,42.973,-81.1803,operational,3539.0,Middlesex,9854.528,9455.987,8526.398,9341.293,9284.23,9525.598,9684.874,thousand m3,4383.657771570846,1665.7899531969217,37.179854237536425,876.7315543141693,56.32026131951679,1183.5875983241285,7.7691465345743165,2060.3191526382975,37.255431483544385,657.548665735627,40.33386327371092,789.0583988827523,73.95886585739098
14290,Corporation of the City of London,Vauxhall Pollution Control Plant,London,ON,42.9729,-81.2058,operational,3539.0,Middlesex,5756.164,5456.852,4904.72,5012.454,5454.137000000001,5044.326,5044.695,thousand m3,2283.3767834206815,867.683177699859,48.578477309052765,456.6753566841363,85.49691811984428,616.511731523584,8.967890693849519,1073.1870882077203,38.7422769449043,342.5065175131022,60.435266210521206,411.00782101572264,107.26249812630749
