,Minimum recovery cost (EUR/year),Maximum recovery cost (EUR/year),Minimum P recovered (kg P/year),Maximum P recovered (kg P/year),Minimum P recovery cost (EUR/kg P recovered),Maximum P recovery cost (EUR/kg P recovered),Minimum P recovered (% over inflow),Maximum P recovered (% over inflow)
Cattle Manure Scenario1,85213026.42785437,92300838.90643291,7963834.245593866,8096564.816353764,10.700000000000001,11.4,59.999999999999986,61.0
Cattle Manure Scenario2,85216985.78653273,92305127.59494525,7964204.2791152075,8096941.017100462,10.700000000000001,11.399999999999999,60.0,61.0
Swine Manure,55075101.0609627,59656114.139865205,5147205.706632027,5232992.468409228,10.700000000000001,11.4,59.999999999999986,60.999999999999986
WWWTPs Liquid,1604063.8821506493,15386743.626953015,255844.92957668714,445359.5522932213,6.2696723550655555,34.5490369471687,27.000008483454103,47.0
WWWTPs Sludge,48653209.19690244,52734583.05810438,4964613.1833573915,5022341.24362899,9.8,10.499999999999998,86.00000000000001,87.00000000000003
Slaughterhouse,45473592.0,48055275.00000001,2772780.0,2810250.0,16.4,17.1,74.0,75.0
OFMSW,290189800.0,955792000.0,35260000.0,38540000.0,8.23,24.8,86.0,94.0
