Parameters,300-2000,2000-5000,5000-10000
probability,0.5805143033047193,0.4152412515753766,0.0042444451199040965
error,6.44500345653131e-15,4.610103982731502e-15,3.546194201098327e-14
Animal units,799359.1718745547,571780.748722076,5844.534952539474
