Parameters,Pennsylvania,Indiana,Mean
mean,1398.3579230769228,1529.5217391304348,1463.939831103679
std,1076.216680229488,1541.5985229955988,1308.9076016125434
a,328.0,310.0,319.0
b,7533.0,7040.0,7286.5
