,index,Physical Address,latitude,longitude,NURSERY_PI,FINISHERS,SOWS,BOARS,Animal Units
59,148,1334 W CR 800 N,40.9418106,-85.81971458,3000.0,7600.0,0.0,0.0,1166.1166116611662
60,153,1748 E Johnson Lake Rd,41.583778,-84.955134,2880.0,0.0,0.0,0.0,316.83168316831683
61,154,611 N CR 550 W,40.44720604,-85.08613807,0.0,8000.0,0.0,0.0,880.0880088008801
62,156,5784 W CR 500 N,40.54761817,-86.23768516,9700.0,0.0,0.0,0.0,1067.106710671067
63,157,829 S CR 600 E,41.31346639,-86.94797054,2000.0,2000.0,0.0,0.0,440.04400440044003
64,161,9389 N CR 550 W,40.880773,-85.041601,2880.0,0.0,0.0,0.0,316.83168316831683
65,162,4501 S CR 50 E,40.69973,-86.364873,0.0,4240.0,0.0,0.0,466.4466446644665
66,164,6316 W SR 14,41.055685,-86.725366,22224.0,2576.0,9312.0,16.0,6221.905786084227
67,165,SR 28 & CR 975 W,40.26917679,-86.19856565,1900.0,3600.0,0.0,0.0,605.0605060506051
68,169,8701 E CR 175 S,38.35091441,-86.73911578,1200.0,1216.0,244.0,0.0,357.172346448128
69,173,CR 300 N & CR 900 W,40.51461376,-86.29966984,1500.0,2350.0,0.0,0.0,423.54235423542355
70,175,5900 S CR 600 W,40.460695,-86.637674,1000.0,2400.0,0.0,0.0,374.03740374037403
71,181,5166 S Robey Rd,40.207723,-86.6897,0.0,0.0,4920.0,40.0,1857.677902621723
72,184,9498 CR 825 W,39.16135807,-87.09656525,932.0,0.0,6984.0,0.0,2718.260590103954
73,185,9696 N SR 9,39.29554,-85.772124,1000.0,2284.0,600.0,0.0,585.9952287363568
74,187,5362 E CR 325 N,40.81009069,-86.26973871,1800.0,2900.0,0.0,0.0,517.051705170517
75,190,2008 S CR 1100 W,40.72091325,-87.078507,1200.0,2000.0,0.0,0.0,352.035203520352
76,191,6959 W CR 100 N,40.757543,-85.0678,1100.0,2200.0,0.0,0.0,363.036303630363
77,192,8643 E CR 750 N,40.150195,-86.306222,2900.0,2900.0,2040.0,20.0,1409.5993869049826
78,194,2602 W CR 300 S,40.508744,-86.572566,2134.0,4928.0,0.0,0.0,776.8976897689769
