Parameters,Ohio,Michigan,Pennsylvania,Indiana,Mean
mean,595.5729638897956,674.5319192113385,903.1438207547171,792.4443716598125,741.4232688789159
std,241.82037195856,362.42977422711795,638.8738956938817,579.6966788404121,455.7051801799929
a,305.0,308.0,314.0,302.0,307.25
b,1678.0,2590.0,4493.0,8037.0,4199.5
