ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units
24109,District Municipality of Muskoka,Mountview WWTP,Huntsville,ON,45.3252,-79.2135,operational,3544,Muskoka,940.816,941.2560000000001,985.626,1072.92,1189.518,1010.528,1044.267,thousand m3
24110,The Corporation of the Municipality of South Bruce,Mildmay WWTP,Mildmay,ON,44.0506,-81.1223,operational,3541,Bruce,192.455,187.196,544.994,179.364,167.55,173.61,176.493,thousand m3
24111,District Municipality of Muskoka,Golden Pheasant WWTP,Huntsville,ON,45.3456,-79.1704,operational,3544,Muskoka,1015.515,726.8420000000001,1097.036,669.406,839.838,791.2338,806.2513000000001,thousand m3
24112,The Corporation of the Municipality of South Bruce,Teeswater Formosa WWTP,Teeswater,ON,44.0114,-81.2631,operational,3541,Bruce,36.397,336.4928,378.911,424.625,392.67600000000004,357.594,340.212,thousand m3
24113,District Municipality of Muskoka,Birch Glen WWTP,Baysville,ON,45.1601,-79.1063,operational,3544,Muskoka,81.525,39.862,45.67,48.182500000000005,62.074,45.5662,45.2862,thousand m3
24114,District Municipality of Muskoka,Lagoon Lane WWTP,Bracebridge,ON,45.02,-79.3173,operational,3544,Muskoka,1382.691,1608.343,1274.891,1383.711,1536.77,1258.792,1418.267,thousand m3
24115,District Municipality of Muskoka,Muskoka Beach WWTP,Gravenhurst,ON,44.952,-79.374,operational,3544,Muskoka,1113.3319999999999,1209.26,1031.1399999999999,1153.155,1201.627,1064.504,1072.291,thousand m3
24116,District Municipality of Muskoka,Tower Road WWTP,Bala,ON,45.0086,-79.6187,operational,3544,Muskoka,123.627,136.25400000000002,101.891,105.45400000000001,130.248,116.988,93.952,thousand m3
24117,District Municipality of Muskoka,Medora WWTP,Port Carling,ON,45.1204,-79.5876,operational,3544,Muskoka,180.24,170.797,158.484,178.78300000000002,208.72899999999998,184.623,146.596,thousand m3
24119,District Municipality of Muskoka,Conger WWTP,MacTier,ON,45.1374,-79.785,operational,3544,Muskoka,52.708,60.811,51.74,55.629000000000005,67.366,64.445,64.175,thousand m3
24120,District Municipality of Muskoka,Lone Pine WWTP,Port Severn,ON,44.809,-79.7372,operational,3544,Muskoka,59.969,68.507,63.481,70.83200000000001,85.178,79.68900000000001,76.877,thousand m3
24127,Weenusk First Nation,WFN Lagoon,Peawanuck,ON,55.0182,-85.4172,operational,3560,Kenora,,,,,,,,thousand m3
24128,Six Nations of the Grand River,Six Nations of the Grand River Communal Sewage Treatment System,Ohsweken,ON,43.0692,-80.1095,operational,3529,Brant,0.0,0.0,48.598,0.0,0.0,66.15,84.096,thousand m3
24129,Municipality of Bayham,Port Burwell Wastewater Treatment Plant,Port Burwell,ON,42.6406,-80.8096,operational,3534,Elgin,249.257,230.642,206.303,216.723,233.242,244.522,247.731,thousand m3
24131,Corporation of the Town of Cobalt,Cobalt Wetlands,Cobalt,ON,47.4031,-79.6819,operational,3554,Timiskaming,544.845,1021.116,512.3175,663.442,641.731,370.072,598.746,thousand m3
24132,Corporation of the Municipality of Brockton,Walkerton WWTP,Walkerton,ON,44.1361,-81.16,operational,3541,Bruce,1394.672,1739.202,1239.347,1559.075,1592.2310000000002,1482.064,1351.6109999999999,thousand m3
24187,The Municipality of Lambton Shores,Arkona Sewage Treatment Plant,Lambton Shores,ON,43.0872,-81.828,operational,3538,Lambton,76.69500000000001,64.768,73.43900000000001,81.063,77.024,82.53200000000001,84.586,thousand m3
24189,The Municipality of Lambton Shores,Forest Sewage Treatment Plant,Lambton Shores,ON,43.0902,-82.0166,operational,3538,Lambton,596.127,331.207,440.26,426.811,430.198,419.568,391.41,thousand m3
24191,The Municipality of Lambton Shores,Grand Bend Wastewater Treatment Plant,South Huron,ON,43.2879,-81.75,operational,3540,Huron,293.012,622.363,279.608,182.687,378.064,428.294,388.75,thousand m3
24192,The Municipality of Lambton Shores,Thedford Lagoons,Lambton Shores,ON,43.1715,-81.8631,operational,3538,Lambton,89.22,89.22,89.22,62.454,80.298,110.038,80.298,thousand m3
24193,The Corporation of the Village of Oil Springs,Oil Springs Lagoons,Oil Springs,ON,42.7878,-82.1127,operational,3538,Lambton,88.92,44.160000000000004,46.368,42.036,78.38,42.029,84.057,thousand m3
