Parameters,300-2000,2000-5000,5000-10000
probability,0.9965524939267794,0.003447506073220724,5.509972642544745e-21
error,1.2891259072580226e-12,1.6459294580710653e-09,1.1019466891713777e-21
Animal units,505020.4204313766,1747.0840494084168,2.7922750858197967e-15
