,Address,Animal Units,Electricity incentive (USD/year),Facility Name,Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
40,15681 State Route 67 Forest Wyandot OH 45843,2272,0.0,"Silver Creek Dairy Farm, LLC",31412048.335999995,19787.786702046295,-75175.19810921457,-174167.52483409553,0.0,25129.638668799995,1056176.5857912193,207439.2155850518,257733.338717967,No,No,83565.8138838715,0.0,40.6979106,-83.4205121,MULTIFORM
41,8166 Lake Dr. Newark Licking OH 43088,2375,0.0,"South Fork Dairy, LLC",32836098.062500004,20684.856257640826,-75971.86226925351,-179744.17395436828,0.0,26268.878450000004,1056176.5857912193,216804.27968333458,267098.4028162498,No,No,87354.22886188152,0.0,40.0140615,-82.4478235,MULTIFORM
42,5624 Elm Sugar Road Convoy Van Wert OH 45832,2000,0.0,"Sugar Lane Dairy, LLC",27651451.000000004,17418.826322223853,-72860.36329432948,-158878.95282511722,0.0,22121.160800000005,1053430.7707055672,182277.0386752085,232440.4087088069,No,No,73561.45588368969,0.0,40.97504970000001,-84.7144974,MULTIFORM
43,18-377 County Road B New Bavaria Henry OH 43548,1400,0.0,Sun Mountain Dairy LLC,19356015.7,12193.178425556694,-68219.60119701512,-126393.61814391677,0.0,15484.81256,1053430.7707055672,127723.26722890111,177886.63726249954,No,No,51493.019118582786,0.0,41.180454100000006,-84.2160225,MULTIFORM
44,14380 Charleston Chillicothe Road South Solon Madison OH 43153,2050,0.0,Twin Oak Dairy LLC,28342737.275000002,17854.29698027945,-73247.09346910566,-161586.06404855062,0.0,22674.189820000003,1053430.7707055672,186823.18629573414,236986.55632933258,No,No,75400.49228078194,0.0,39.7220968,-83.5098501,MULTIFORM
45,8789 State Route 114 Haviland Paulding OH 45851,2000,0.0,Van Erk Dairy,27651451.000000004,17418.826322223853,-72860.36329432948,-158878.95282511722,0.0,22121.160800000005,1053430.7707055672,182277.0386752085,232440.4087088069,No,No,73561.45588368969,0.0,41.0187797,-84.6525644,MULTIFORM
46,12471 Thomas Road South Charleston Clark OH 45368,2800,0.0,Van Raay Dairy Farm,38712031.4,24386.35685111339,-113272.67419702806,-232516.52411545662,0.0,30969.62512,1681176.5857912193,255446.53445780222,335502.5623526222,No,No,102986.03823716557,0.0,39.8694501,-83.57721690000001,MULTIFORM
47,11314 McCavit Road Sherwood Defiance OH 43556,1800,0.0,VanderMade Dairy LLC,24886305.900000002,15676.943690001464,-71313.4425952247,-148050.50793138373,0.0,19909.04472,1053430.7707055672,164092.448193106,214255.81822670443,No,No,66205.3102953207,0.0,41.3674268,-84.60456090000001,MULTIFORM
48,09711 Breininger Road Mark Center Defiance OH 43536,1600,0.0,Vissers Dairy,22121160.8,13935.061057779087,-69766.5218961199,-137222.06303765025,0.0,17696.928640000002,1053430.7707055672,145907.8577110036,196071.22774460202,No,No,58849.16470695176,0.0,41.3050396,-84.66849870000001,MULTIFORM
49,12464 Twp Rd 100 Kenton Hardin OH 43326,825,0.0,Vrieco Farms Ltd (formerly known as Frisian Hijma Dairy),11406223.5375,7185.265857917338,-63518.215514067946,-94913.85161140273,0.0,9124.97883,1049140.9709612187,75298.85830812859,125257.95216342472,No,No,30344.100552021995,0.0,40.6894559,-83.6488705,MULTIFORM
50,11753 Road 21 Antwerp Paulding OH 45813,1400,0.0,"West Side Dairy (formerly Zylstra Dairy, LTD)",19356015.7,12193.178425556694,-68219.60119701512,-126393.61814391677,0.0,15484.81256,1053430.7707055672,127723.26722890111,177886.63726249954,No,No,51493.019118582786,0.0,41.1464482,-84.765941,MULTIFORM
51,15257 Road C Continental Putnam OH 45831,1540,0.0,"Wezbra Dairy, LLC",21291617.270000003,13412.496268112367,-69302.44568638848,-133973.52956953022,0.0,17033.293816,1053430.7707055672,140452.48056637283,190615.85059997125,No,No,56642.32103044106,0.0,41.136703000000004,-84.15551500000001,MULTIFORM
52,3315 State Route 114 Payne Paulding OH 45880,1102,0.0,Wildcat Dairy,15235949.500999998,9597.773303545342,-65914.68935534898,-110259.23525225389,0.0,12188.759600799998,1053430.7707055672,100628.22741056845,150791.5974441669,No,No,40532.36219191301,0.0,41.022371500000006,-84.7577117,MULTIFORM
