,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
77,CR 425 S & CR 1100 E,445.0,0.0,6152447.847500001,3875.6888566948073,-60579.06618576886,-74339.80631330912,0.0,4921.958278000001,1049140.9709612187,40748.13639213395,90707.23024743008,No,No,16367.423934120958,0.0,41.581540000000004,-85.212693,MULTIFORM
78,4341 S CR 500 E,1800.0,0.0,24886305.900000002,15676.943690001464,-71313.4425952247,-148050.50793138373,0.0,19909.04472,1053430.7707055672,164092.448193106,214255.81822670443,No,No,66205.3102953207,0.0,40.766209,-85.354221,MULTIFORM
79,8627 W CR 200 S,2290.0,0.0,31660911.395,19944.55613894631,-75314.42097213399,-175142.08487453157,0.0,25328.729116000002,1056176.5857912193,209075.82872844103,259369.95186135624,No,No,84227.86698682468,0.0,40.79883,-85.613982,MULTIFORM
80,CR 400 E & CR 500 N,1700.0,0.0,23503733.35,14806.002373890271,-70539.9822456723,-142636.285484517,0.0,18802.98668,1053430.7707055672,155000.15295205478,205163.5229856532,No,No,62527.237501136224,0.0,41.123559,-86.524831,MULTIFORM
81,12040 W 14th Rd,5080.0,0.0,70234685.54,44243.81885844859,-165580.75063469994,-386614.1972487535,0.0,56187.74843200001,2317353.1715824385,463110.14416559023,573460.2951933254,No,No,186846.09794457184,0.0,41.27431,-86.28991500000001,MULTIFORM
82,10998 W CR 500 N,5071.0,0.0,70110254.01050001,44165.43413999858,-165511.13920324022,-386126.9172285356,0.0,56088.20320840001,2317353.1715824385,462291.8375938957,572641.9886216308,No,No,186515.07139309525,0.0,41.086488,-87.25677900000001,MULTIFORM
83,10777 W CR 700 N,4500.0,0.0,62215764.75000002,39192.359225003675,-126421.50013941873,-324558.3057121913,0.0,49772.61180000001,1681176.5857912193,410015.55355567316,490071.58145049313,No,No,165513.27573830183,0.0,41.115119,-87.250561,MULTIFORM
84,11827 W CR 400 S,750.0,0.0,10369294.125,6532.059870833944,-62938.12025190365,-90853.18477625267,0.0,8295.435300000001,1049140.9709612187,68479.63687734018,118438.73073263631,No,No,27585.545956383638,0.0,40.997826,-86.830703,MULTIFORM
85,1971 W CR 300 S,310.0,0.0,4285974.905,2699.9180799446967,-59534.89471387314,-67030.60601003902,0.0,3428.7799240000004,1049140.9709612187,28473.537816714794,78432.63167201093,No,No,11402.025661971904,0.0,40.701236,-84.97261800000001,MULTIFORM
86,11656 N CR 000 Rd 1,300.0,0.0,4147717.650000001,2612.823948333578,-59457.54867891789,-66489.18376535235,0.0,3318.1741200000006,1049140.9709612187,27564.308292609676,77523.40214790581,No,No,11034.218382553456,0.0,40.915053,-84.939015,MULTIFORM
