,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
35,298 S CR 650 W,2000.0,0.0,20865590.0,12251.19309204862,-68207.12850901371,-126306.30932790691,0.0,16692.471999999998,1053430.7707055672,128267.7461362111,178431.11616980954,No,No,52124.80684190264,0.0,41.00734091,-87.17086182,MULTIFORM
36,2270 N CR 900 E,481.0,0.0,6650173.965500001,4189.227730494837,-60857.51191160772,-76288.92639418114,0.0,5320.139172400001,1049140.9709612187,44021.36267891238,93980.45653420851,No,No,17691.53014002737,0.0,39.964515000000006,-85.213561,MULTIFORM
37,11505 13th Rd,1947.0,0.0,26918687.548499998,16957.22742468492,-72450.42930906672,-156009.4149282779,0.0,21534.950038799998,1053430.7707055672,177458.12219745136,227621.4922310498,No,No,71612.07730277191,0.0,41.28784272,-86.28012279,MULTIFORM
38,789 E Old Kokomo Rd,730.0,0.0,10092779.615000002,6357.871607611707,-62783.42818199318,-89770.34028687933,0.0,8074.223692000002,1049140.9709612187,66661.17782912994,116620.27168442607,No,No,26849.931397546738,0.0,40.493311,-85.64625799999999,MULTIFORM
39,W Duff Rd & CR 600 W,430.0,0.0,5945061.965,3745.047659278127,-60463.04713333601,-73527.67294627911,0.0,4756.049572,1049140.9709612187,39384.29210597626,89343.38596127239,No,No,15815.71301499328,0.0,38.31656586,-87.01708914,MULTIFORM
40,6111 E CR 1000 N,690.0,0.0,9539750.595,6009.495081167229,-62474.04404217222,-87604.65130813263,0.0,7631.800476,1049140.9709612187,63024.25973270944,112983.35358800557,No,No,25378.702279872938,0.0,41.496596000000004,-85.305319,MULTIFORM
41,12836 N CR 400 W,678.0,0.0,9373841.889,5904.982123233885,-62381.22880022593,-86954.94461450863,0.0,7499.0735112,1049140.9709612187,61933.1843037833,111892.27815907943,No,No,24937.333544570807,0.0,41.19769,-85.924798,MULTIFORM
42,8428 W CR 600 N,734.0,0.0,10148082.516999999,6392.709260256152,-62814.36659597527,-89986.909184754,0.0,8118.466013599999,1049140.9709612187,67024.86963877198,116983.96349406811,No,No,26997.05430931412,0.0,41.1008794,-87.20733615,MULTIFORM
43,3336 CR 57,300.0,0.0,4147717.650000001,2612.823948333578,-59457.54867891789,-66489.18376535235,0.0,3318.1741200000006,1049140.9709612187,27564.308292609676,77523.40214790581,No,No,11034.218382553456,0.0,41.412532,-84.92374000000001,MULTIFORM
44,66569 CR 13,1480.0,0.0,20462073.740000002,12889.931478445653,-68838.36947665703,-130724.99610141017,0.0,16369.658992,1053430.7707055672,134997.10342174213,185160.47345534054,No,No,54435.47735393038,0.0,41.53213,-85.927634,MULTIFORM
45,12909 N. SR 229,600.0,0.0,8295435.300000002,5225.647896667156,-61777.929727575065,-82731.85110595258,0.0,6636.348240000001,1049140.9709612187,54841.19401576335,104800.28787105948,No,No,22068.43676510691,0.0,39.263272,-85.244545,MULTIFORM
46,8419 E CR 200 S,470.0,0.0,6498090.985,4093.424185722605,-60772.43127315696,-75693.3619250258,0.0,5198.472788,1049140.9709612187,43021.21020239675,92980.30405769288,No,No,17286.942132667078,0.0,40.411019,-84.81674699999999,MULTIFORM
47,417 CR 43,400.0,0.0,5530290.2,3483.7652644447717,-60231.00902847029,-71903.4062122191,0.0,4424.2321600000005,1049140.9709612187,36656.6035336609,86615.69738895702,No,No,14712.29117673794,0.0,41.517941,-84.987809,MULTIFORM
48,9124 N Orn Rd,1000.0,0.0,13825725.500000002,8709.413161111926,-64871.771125784624,-104388.74089341953,0.0,11060.580400000003,1049140.9709612187,91210.37497996824,141169.4688352644,No,No,36780.727941844845,0.0,41.36442653,-85.89000077,MULTIFORM
49,4754 S Hupp Rd,698.0,0.0,9650356.399,6079.170386456125,-62535.92087013641,-88037.78910388198,0.0,7720.285119200001,1049140.9709612187,63751.643351993545,113710.73720728967,No,No,25672.9481034077,0.0,41.53820041,-86.61243167,MULTIFORM
50,10100 E Taylor Hollow Rd,1750.0,0.0,24195019.625000007,15241.473031945872,-70926.7124204485,-145343.3967079504,0.0,19356.015700000004,1053430.7707055672,159546.30057258045,209709.67060617887,No,No,64366.27389822851,0.0,38.354138,-86.72776800000001,MULTIFORM
51,3493 S CR 350 W,520.0,0.0,7189377.260000001,4528.894843778203,-61159.16144793316,-78400.47314845918,0.0,5751.501808000001,1049140.9709612187,47567.35782292237,97526.4516782185,No,No,19125.978529759326,0.0,39.55989833,-85.508431,MULTIFORM
52,CR 200 E & CR 900 S,330.0,0.0,4562489.415,2874.1063431669354,-59689.58678378361,-68113.45049941237,0.0,3649.991532,1049140.9709612187,30291.996864925037,80251.09072022117,No,No,12137.640220808798,0.0,41.03302253,-85.45197988,MULTIFORM
53,6848 N CR 250 E,680.0,0.0,9401493.34,5922.400949556109,-62396.69800721698,-87063.22906344595,0.0,7521.194672,1049140.9709612187,62115.03020860431,112074.12406390044,No,No,25010.89500045449,0.0,39.577462,-86.054694,MULTIFORM
