,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),Total manure (lbs/yr) ,Total manure method 2 (lbs/yr),Type,latitude,longitude,node ,number,tech_selected
146,"N32153 State Rd 93, Arcadia, WI 54612",1500,0.0,20738588.25,13064.119741667888,-68993.06154656752,-131807.8405907835,0.0,16590.870600000002,1053430.7707055672,136815.56246995236,186978.93250355078,No,No,55171.091912767275,0.0,45455209.8566726,45586367.98277771,dairy ,44.252740499999895,-91.5015432,n147,147,MULTIFORM
147,"3827 Mueller Road, DeForest, WI 53532",1620,0.0,22397675.310000002,14109.249321001324,-69921.2139660304,-138304.90752702364,0.0,17918.140248000003,1053430.7707055672,147726.31675921383,197889.68679281225,No,No,59584.77926578864,0.0,49091626.6452064,49233384.5613999,dairy ,43.252739,-89.290092,n148,148,MULTIFORM
148,"6832 Cty X, Cleveland, WI 53015",11899,0.0,164512307.72450003,103633.30720407085,-163745.70096420383,107813.81904179233,0.0,131609.84617960002,3762101.1773736575,150692.38762518822,329840.0627382195,Yes,No,437653.88178001187,0.0,360581028.056365,361630746.325214,dairy ,43.950587899999995,-87.7465309,n149,149,CRYSTALACTOR
149,"EP 4104 County Road E, Stratford, WI 54484",2614,0.0,36140446.457,22766.40600314657,-111834.03794686063,-222446.07036428462,0.0,28912.357165600002,1681176.5857912193,238534.86530944702,318590.893204267,No,No,96144.82283998241,0.0,79213279.0435614,79442838.55432059,dairy ,44.874471500000006,-90.13948520000001,n150,150,MULTIFORM
150,"W962 Cty Rd NN, Mondovi, WI 54755",1953,0.0,27001641.9015,17009.483903651588,-72496.83693003985,-156334.26827508985,0.0,21601.313521199998,1053430.7707055672,178003.6599119144,228167.02994551283,No,No,71832.76167042297,0.0,59182683.23338771,59353855.567076504,dairy ,44.4532096,-91.72290179999999,n151,151,MULTIFORM
151,"W4072 County Rd R, Durand, WI 54736",1900,0.0,26268878.45,16547.885006112654,-72086.90294477709,-153464.73037825048,0.0,21015.10276,1053430.7707055672,173184.74343415725,223348.11346775567,No,No,69883.38308950521,0.0,57576599.1517853,57743089.911518395,dairy ,44.6559094,-91.8549738999999,n152,152,MULTIFORM
152,"N9035 River Rd, Birnamwood, WI 54414",8047,0.0,111255613.09850001,70084.64770746768,-137522.7627320586,49553.62140306932,0.0,89004.49047880001,3036638.8815824385,101819.04484103054,246420.89634495616,Yes,No,295974.5177480255,0.0,243852049.144429,244561514.151441,dairy ,44.9125646,-89.0748565999999,n153,153,CRYSTALACTOR
153,"6790 Twin Lane Rd, Sun Prairie, WI 53590",1081,0.0,14945609.2655,9414.875627161993,-65498.274008922075,-108774.26107538158,0.0,11956.487412400002,1049140.9709612187,98575.13412521973,148534.22798051586,No,No,39759.96690513428,0.0,32758054.570042,32852201.7624218,dairy ,43.222612,-89.144127,n154,154,MULTIFORM
154,"N8759 County Road Y, Seymour, WI 54165",238,0.0,3290522.669,2072.840332344638,-58978.00326219541,-63132.36584829497,0.0,2632.4181352,1049140.9709612187,21927.085243157915,71886.17909845404,No,No,8753.813250159074,0.0,7212226.63059205,7231910.29760072,dairy ,44.555831899999994,-88.2468131999999,n155,155,MULTIFORM
155,"1074 Meadowlark Rd, De Pere, WI 54115",2790,0.0,38573774.145,24299.26271950227,-113195.32816207282,-231975.10187076993,0.0,30859.019316,1681176.5857912193,254537.30493369704,334593.332828517,No,No,102618.23095774713,0.0,84546690.333411,84791796.20296651,dairy ,44.340874,-88.133287,n156,156,MULTIFORM
156,"3990 Willow Lane, Port Washington, WI 53074",2484,0.0,34343102.142000005,21634.182292202026,-110828.53949244253,-215407.5811833578,0.0,27474.481713600006,1681176.5857912193,226714.8814960804,306770.9093909004,No,No,91363.32820754258,0.0,75273827.5226498,75491903.9274798,dairy ,43.422519,-87.90851500000001,n157,157,MULTIFORM
157,"PO Box 1355, Lake Geneva, WI 53147",2653,0.0,36679649.7515,23106.073116429943,-112135.68748318606,-224557.6171185625,0.0,29343.719801200004,1681176.5857912193,242080.8604534569,322136.8883482769,No,No,97579.27122971437,0.0,80395114.49983491,80628118.9423728,dairy ,42.582248,-88.4241299999999,n158,158,MULTIFORM
158,"W3320 153 Road, Loyal, WI 54446",2944,0.0,40702935.87200001,25640.51234631351,-114386.4571003835,-240313.00443894474,0.0,32562.348697600006,1681176.5857912193,268539.439604916,348595.467499736,No,No,108282.46306079123,0.0,89213425.21202941,89472134.1455317,dairy ,44.8009126,-90.47805290000001,n159,159,MULTIFORM
159,"4431 County Road C, Pulaski, WI 54162",1573,0.0,21747866.211500004,13699.90690242906,-69557.68760174078,-135760.22297699627,0.0,17398.292969200003,1053430.7707055672,143452.93799591978,193616.30802951823,No,No,57856.08505252194,0.0,47667363.403030604,47804969.7347729,dairy ,44.6643522,-88.15078879999999,n160,160,MULTIFORM
160,"1715 W Townline Rd, Athens, WI 54411",4610,0.0,63736594.555,40150.39467272597,-127272.30652392635,-330513.95040374465,0.0,50989.27564400001,1681176.5857912193,420017.07832082943,500073.1062156494,No,No,169559.15581190473,0.0,139699011.626174,140104880.97873703,dairy ,45.032388999999895,-90.121009,n161,161,MULTIFORM
161,"60 105th St, Deer Park, WI 54007",1358,0.0,18775335.229000002,11827.383072789997,-67894.7478502031,-124119.64471623277,0.0,15020.268183200003,1053430.7707055672,123904.5032276596,174067.87326125806,No,No,49948.22854502529,0.0,41152116.656907596,41270731.6980747,dairy ,45.225389899999996,-92.3783837,n162,162,MULTIFORM
162,"9785 Ogden Ave, Cashton, WI 54619",3649,0.0,50450072.349500015,31780.648624897432,-119839.35256472787,-278483.27268935536,0.0,40360.05787960001,1681176.5857912193,332640.12105432723,412696.1489491472,No,No,134212.87625979184,0.0,110577373.84466499,110898356.54493701,dairy ,43.737048,-90.79388890000001,n163,163,MULTIFORM
163,"2375 Day St, Greenleaf, WI 54126",1750,0.0,24195019.625000007,15241.473031945872,-70926.7124204485,-145343.3967079504,0.0,19356.015700000004,1053430.7707055672,159546.30057258045,209709.67060617887,No,No,64366.27389822851,0.0,53031078.166117996,53184319.1882406,dairy ,44.315446,-88.042711,n164,164,MULTIFORM
164,"10104 North Ave, Newton, WI 53063",1134,0.0,15678372.717000004,9876.474524700923,-66162.19666720573,-111991.78643525126,0.0,12542.698173600005,1053430.7707055672,103537.76188770487,153701.1319213033,No,No,41709.34548605206,0.0,34364138.6516445,34462967.4179799,dairy ,43.9502009,-87.8283230999999,n165,165,MULTIFORM
165,"N4017 Hwy K, Fond du Lac, WI 549358535",3134,0.0,43329823.717,27295.30084692478,-115856.03176453305,-250600.02708799165,0.0,34663.8589736,1681176.5857912193,285814.8005629134,365870.8284577334,No,No,115270.80136974175,0.0,94971085.1272079,95246577.06168349,dairy ,43.7730448,-88.44705079999999,n166,166,MULTIFORM
166,"N5638 HWY DJ, JUNEAU, WI 53039",4212,0.0,58233955.80600001,36684.04823460344,-124193.9343327078,-308965.345065215,0.0,46587.1646448,1681176.5857912193,383829.74326144555,463885.7711562655,No,No,154920.4260910505,0.0,127638229.27753702,128008942.65963998,dairy ,43.405550399999996,-88.7051037,n167,167,MULTIFORM
167,"1563 19th Ave, Rice Lake, WI 54868",5148,0.0,71174834.874,44836.05895340419,-166106.70367239558,-390295.8685126228,0.0,56939.867899200006,2317353.1715824385,469292.9049295049,579643.05595724,No,No,189347.18744461724,0.0,156002280.2281,156455671.972893,dairy ,45.4788,-91.83434100000001,n168,168,MULTIFORM
168,"N6841 County V, Deerbrook, WI 54424",1445,0.0,19978173.347500004,12585.102017806736,-68567.6583543137,-128830.01824500682,0.0,15982.538678000004,1053430.7707055672,131814.8000873742,181978.17012097262,No,No,53148.15187596581,0.0,43788518.8285946,43914818.717575796,dairy ,45.233576799999895,-89.1556693,n169,169,MULTIFORM
169,"W926 Van Asten Rd, Kaukauna, WI 54130",1496,0.0,20683285.348,13029.28208902344,-68962.12313258543,-131591.27169290883,0.0,16546.628278400003,1053430.7707055672,136451.87066031032,186615.24069390877,No,No,55023.9690009999,0.0,45333995.9637214,45464800.7634903,dairy ,44.395145,-88.23464,n170,170,MULTIFORM
170,"2563 5th Ave., Grand Marsh, WI 53936",13276,0.0,183550331.738,115626.16912692193,-158969.5793407944,141246.6704056584,0.0,146840.26539040002,3762101.1773736575,167906.5986372424,347054.27375027374,Yes,No,488300.9441559321,0.0,402308910.70479,403480261.564904,dairy ,43.8815381,-89.6799927,n171,171,CRYSTALACTOR
171,"4240 Rosin Rd, De Pere, WI 54115",1464,0.0,20240862.132,12750.580867867855,-68714.61582072865,-129858.7205099115,0.0,16192.6897056,1053430.7707055672,133542.3361831739,183705.70621677232,No,No,53846.98570686084,0.0,44364284.8201124,44492263.009191,dairy ,44.3480619,-88.1688296999999,n172,172,MULTIFORM
172,"D1315 Eau Pleine Road, Stratford, WI 54484",1182,0.0,16342007.541000005,10294.526356434297,-66533.45763499089,-114590.6132097473,0.0,13073.606032800004,1053430.7707055672,107902.06360340946,158065.4336370079,No,No,43474.82042726061,0.0,35818705.367058,35921774.0494288,dairy ,44.7709677,-90.07615,n173,173,MULTIFORM
173,"W136 Panther Creek Rd, Chili, WI 54420",3575,0.0,49426968.662499994,31136.15205097514,-78722.08617011718,-87110.74126041397,0.0,39541.574929999995,1391831.5857912193,131986.73954677224,198264.43410825887,No,No,111153.69284784491,0.0,108334916.82507,108649362.98811999,dairy ,44.6435634,-90.3189010999999,n174,174,NURESYS
174,"3743 Wood Rd, Fennimore, WI 538099693",1251,0.0,17295982.6005,10895.475864551021,-67067.14527618205,-118326.42669808534,0.0,13836.7860804,1053430.7707055672,114175.7473197348,164339.11735333325,No,No,46012.690655247905,0.0,37909645.0204649,38018808.5821366,dairy ,43.004664700000006,-90.6134585,n175,175,MULTIFORM
175,"6401 Company Lake Rd, Oconto Falls, WI 54154",3055,0.0,42237591.4025,26607.257207196933,-78307.10894433934,-84205.90067996898,0.0,33790.073122,1391831.5857912193,112914.08909754983,179191.78365903645,No,No,94985.88297906748,0.0,92577110.7414231,92845624.4807572,dairy ,44.907694899999996,-88.2014849999999,n176,176,NURESYS
176,"E13843 Kouba Valley Rd, Hillsboro, WI 54634",948,0.0,13106787.774000002,8256.523676734108,-64469.5717440174,-101573.34522104882,0.0,10485.430219200001,1049140.9709612187,86482.3814546216,136441.47530991773,No,No,34868.130088868915,0.0,28727692.629417103,28810091.721115503,dairy ,43.618778999999996,-90.387911,n177,177,MULTIFORM
177,"N3603 Vanden Bosch Road, Kaukauna, WI 54130",3763,0.0,52026205.0565,32773.521725264174,-120721.09736321759,-284655.4862787834,0.0,41620.9640452,1681176.5857912193,343005.3376291256,423061.3655239456,No,No,138405.87924516216,0.0,114031969.793773,114363022.29462801,dairy ,44.369921999999995,-88.258894,n178,178,MULTIFORM
178,"2314 Shady Lane Rd, Saukville, WI 53080",1322,0.0,18277609.111,11513.844198989966,-67616.30212436426,-122170.52463536074,0.0,14622.087288800001,1053430.7707055672,120631.27694088117,170794.6469744796,No,No,48624.12233911888,0.0,40061191.6203474,40176626.7244881,dairy ,43.427712,-87.9858989999999,n179,179,MULTIFORM
179,"14319 S Union Road, Cleveland, WI 53015",1473,0.0,20365293.6615,12828.965586317865,-68784.22725218837,-130346.00053012952,0.0,16292.234929200002,1053430.7707055672,134360.64275486855,184524.012788467,No,No,54178.012258337454,0.0,44637016.079252504,44765789.2525877,dairy ,43.925591999999895,-87.779209,n180,180,MULTIFORM
180,"218040 Black Cherry Drive, Eland, WI 54427",2723,0.0,37647450.5365,23715.732037707778,-112677.10972787271,-228347.57283136924,0.0,30117.9604292,1681176.5857912193,248445.46712219281,328501.4950170128,No,No,100153.92218564355,0.0,82516357.6264796,82755545.2799024,dairy ,44.816149499999895,-89.2695931,n181,181,MULTIFORM
181,"4012 Otto Lane, Valders, WI 54245",1252,0.0,17309808.326000005,10904.185277712133,-67074.87987967758,-118380.56892255401,0.0,13847.846660800004,1053430.7707055672,114266.67027214532,164430.04030574375,No,No,46049.471383189746,0.0,37939948.4937027,38049200.3869584,dairy ,44.0486066,-87.85337320000001,n182,182,MULTIFORM
182,"315 355th Ave, Frederic, WI 54837",1505,0.0,20807716.8775,13107.66680747345,-69031.73456404514,-132078.5517131269,0.0,16646.173502,1053430.7707055672,137270.17723200496,187433.54726560338,No,No,55354.9955524765,0.0,45606727.2228615,45738327.0068869,dairy ,45.719291299999895,-92.21949479999991,n183,183,MULTIFORM
183,"N4893 Hwy C, Kewaunee, WI 54216",9979,0.0,137966914.7645,86911.23393473592,-170405.21695327153,61197.207118318736,0.0,110373.5318116,3762101.1773736575,126690.00190031956,305837.6770133509,Yes,No,367034.88413166965,0.0,302398359.43982404,303278481.067259,dairy ,44.5025646,-87.60006489999991,n184,184,CRYSTALACTOR
184,"W2828 Meadowlark Road, Fredonia, WI 53021",2426,0.0,33541210.063,21129.03632885753,-110379.93248970211,-212267.33216417505,0.0,26832.9680504,1681176.5857912193,221441.35025627067,301497.37815109064,No,No,89230.04598691559,0.0,73516226.07485841,73729179.2478124,dairy ,43.457674700000005,-87.9548933,n185,185,MULTIFORM
185,"6373 Pelishek Lane, Lena, WI 54139",1068,0.0,14765874.834,9301.653256067539,-65397.72416348026,-108070.41215728893,0.0,11812.6998672,1049140.9709612187,97393.13574388309,147352.22959917923,No,No,39281.8174418903,0.0,32364109.4179509,32457108.299737703,dairy ,44.985838,-88.078549,n186,186,MULTIFORM
186,"N1497 State Rd 108, Melrose, WI 54642",1581,0.0,21858472.015500005,13769.582207717958,-69619.56442970494,-136193.36077274563,0.0,17486.777612400005,1053430.7707055672,144180.3216152039,194343.6916488023,No,No,58150.3308760567,0.0,47909791.188932896,48048104.173347704,dairy ,44.119847799999995,-90.9960706,n187,187,MULTIFORM
187,"W1776 Aspen Ave, Pine River, WI 54965",3575,0.0,49426968.662499994,31136.15205097514,-119266.9919060591,-274476.7480786739,0.0,39541.574929999995,1681176.5857912193,325911.8225759493,405967.8504707693,No,No,131491.10239209534,0.0,108334916.82507,108649362.98811999,dairy ,44.170626,-88.9684777,n188,188,MULTIFORM
188,"N5875 Hwy E, Albany, WI 53502",1150,0.0,15899584.325000001,10015.825135278717,-66285.95032313414,-112858.06202674995,0.0,12719.66746,1053430.7707055672,104992.52912627308,155155.8991598715,No,No,42297.83713312158,0.0,34848994.223449,34949236.2951295,dairy ,42.718222,-89.4332678999999,n189,189,MULTIFORM
189,"N998 Hwy K, Fort Atkinson, WI 53538",1518,0.0,20987451.309000004,13220.889178567904,-69132.28440948694,-132782.40063121956,0.0,16789.961047200006,1053430.7707055672,138452.1756133416,188615.54564694,No,No,55833.14501572048,0.0,46000672.3749526,46133420.469571,dairy ,42.9288944,-88.83705090000001,n190,190,MULTIFORM
190,"364 Remy Rd, Belleville, WI 53508",963,0.0,13314173.6565,8387.164874150785,-64585.590796450255,-102385.47858807883,0.0,10651.3389252,1049140.9709612187,87846.22574077928,137805.3195960754,No,No,35419.84100799658,0.0,29182244.727983803,29265968.7934433,dairy ,42.873461,-89.522408,n191,191,MULTIFORM
191,"W2470 Cty Rd AW, Randolph, WI 53965",1764,0.0,24388579.781999998,15363.404816201435,-71034.99686938582,-146101.3878505117,0.0,19510.863825599998,1053430.7707055672,160819.22190632758,210982.59193992603,No,No,64881.2040894143,0.0,53455326.7914469,53609804.4557465,dairy ,43.63487070000001,-89.0041104,n192,192,MULTIFORM
192,"N1602 Buchholtz Rd, Weyauwega, WI 54983",3603,0.0,49814088.976500005,31380.01561948627,-119483.56080393374,-275992.7303637965,0.0,39851.271181200005,1681176.5857912193,328457.66524344357,408513.69313826354,No,No,132520.96277446699,0.0,109183414.075728,109500333.523132,dairy ,44.2988422,-88.9592217,n193,193,MULTIFORM
193,"W3018 Wilson Lima Road , Oostburg, WI 53070",1364,0.0,18858289.582000002,11879.639551756667,-67941.15547117626,-124444.49806304477,0.0,15086.631665600004,1053430.7707055672,124450.04094212268,174613.41097572114,No,No,50168.91291267636,0.0,41333937.49633429,41453082.5270058,dairy ,43.643852700000004,-87.8607172999999,n194,194,MULTIFORM
194,"5010 Town Hall Dr, Cottage Grove, WI 53527",1895,0.0,26199749.8225,16504.3379403071,-72048.22992729946,-153194.01925590716,0.0,20959.799858000002,1053430.7707055672,172730.1286721047,222893.49870570312,No,No,69699.479449796,0.0,57425081.7855963,57591130.887409106,dairy ,43.133922999999996,-89.176236,n195,195,MULTIFORM
195,"1244 County Line Rd, De Pere, WI 54115",1337,0.0,18484994.993500005,11644.485396406648,-67732.32117679711,-122982.65800239074,0.0,14787.995994800005,1053430.7707055672,121995.12122703886,172158.4912606373,No,No,49175.83325824656,0.0,40515743.7189142,40632503.7968158,dairy ,44.435092999999895,-88.1878739,n196,196,MULTIFORM
196,"920 East Townline Road, Athens, WI 54411",2026,0.0,28010919.863,17645.271064412766,-73061.4629852131,-160286.6506613026,0.0,22408.7358904,1053430.7707055672,184641.03543788186,234804.40547148028,No,No,74517.75481017766,0.0,61394836.7797458,61572457.3190717,dairy ,45.033349900000005,-90.0473969999999,n197,197,MULTIFORM
197,"W3367 Ledge Rd, Malone, WI 53049",2741,0.0,37896313.5955,23872.50147460779,-112816.33259079214,-229322.13287180528,0.0,30317.0508764,1681176.5857912193,250082.08026558202,330138.108160402,No,No,100815.97528859672,0.0,83061820.1447597,83302597.76669571,dairy ,43.8210075,-88.32427390000001,n198,198,MULTIFORM
198,"W9150 Lincoln Rd, Eldorado, WI 54932",2127,0.0,29407318.1385,18524.921793685073,-74053.6806023636,-166316.90228613873,0.0,23525.8545108,1056176.5857912193,194255.38748552752,244549.51061844273,No,No,78232.608332304,0.0,64455487.57676171,64642029.6060787,dairy ,43.863817999999895,-88.61717890000001,n199,199,MULTIFORM
199,"6626 Ripp Dr, Dane, WI 53529",1494,0.0,20655633.897,13011.863262701216,-68946.65392559438,-131482.9872439715,0.0,16524.507117600002,1053430.7707055672,136270.02475548926,186433.3947890877,No,No,54950.4075451162,0.0,45273389.017245896,45404017.1538466,dairy ,43.219504,-89.4847779999999,n200,200,MULTIFORM
200,"W2268 Hickory Hills Road, Chilton, WI 53014",1970,0.0,27236679.234999996,17157.5439273905,-72628.32518946374,-157254.6860910572,0.0,21789.343387999994,1053430.7707055672,179549.3501028931,229712.72013649152,No,No,72458.03404543434,0.0,59697842.27843001,59870516.249047995,dairy ,44.059823,-88.152647,n201,201,MULTIFORM
201,"17231 Point Creek Rd, Kiel, WI 53042",2752,0.0,38048396.576000005,23968.30501938002,-112901.41322924291,-229917.6973409606,0.0,30438.717260800004,1681176.5857912193,251082.23274209767,331138.26063691766,No,No,101220.56329595702,0.0,83395158.3503753,83636907.61973609,dairy ,43.962606,-87.9196319,n202,202,MULTIFORM
202,"W4705 County Rd D, Random Lake, WI 53075",3201,0.0,44256147.3255,27878.831528719267,-116374.25019873316,-254227.55612739228,0.0,35404.9178604,1681176.5857912193,291906.6383744176,371962.6662692376,No,No,117735.11014184532,0.0,97001417.83413929,97282827.98474759,dairy ,43.571302,-87.9327198,n203,203,MULTIFORM
203,"N7832 Village Rd, Bear Creek, WI 54922",1522,0.0,21042754.211,13255.726831212354,-69163.22282346904,-132998.96952909423,0.0,16834.2033688,1053430.7707055672,138815.86742298363,188979.23745658208,No,No,55980.267927487854,0.0,46121886.2679038,46254987.6888584,dairy ,44.520373,-88.734526,n204,204,MULTIFORM
204,"N3265 County Rd AB, Luxemburg, WI 54217",3117,0.0,43094786.38350001,27147.240823185883,-115724.54350510913,-249679.6092720242,0.0,34475.8291068,1681176.5857912193,284269.1103719346,364325.13826675457,No,No,114645.52899473037,0.0,94455926.08216558,94729916.379712,dairy ,44.441773,-87.68502590000001,n205,205,MULTIFORM
205,"N368 Hwy 51, DeForest, WI 53532",999,0.0,13811899.774500001,8700.703747950814,-64864.036522289105,-104334.59866895086,0.0,11049.5198196,1049140.9709612187,91119.45202755772,141078.54588285385,No,No,36743.947213903,0.0,30273169.764543895,30360073.7670299,dairy ,43.290199,-89.324268,n206,206,MULTIFORM
206,"N8997 County Road M, Pickett, WI 54964",13569,0.0,187601269.30950004,118178.02718312776,-157953.3094528794,148360.5596210636,0.0,150081.01544760005,3762101.1773736575,171569.4627087979,350717.1378218292,Yes,No,499077.6974428928,0.0,411187828.36346,412385060.377707,dairy ,43.867771000000005,-88.717945,n207,207,CRYSTALACTOR
207,"W849 County Rd U, Cochrane, WI 54622",1125,0.0,15553941.187500006,9798.089806250919,-66092.58523574604,-111504.50641503328,0.0,12443.152950000003,1053430.7707055672,102719.45531601028,152882.82534960873,No,No,41378.31893457546,0.0,34091407.3925044,34189441.1745832,dairy ,44.3237041,-91.6903002,n208,208,MULTIFORM
208,"W3855 Ebenezer Dr, Watertown, WI 53094",1739,0.0,24042936.6445,15145.669487173636,-70841.63178199773,-144747.83223879503,0.0,19234.3493156,1053430.7707055672,158546.14809606478,208709.5181296632,No,No,63961.685890868175,0.0,52697739.9605024,52850009.3352003,dairy ,43.1365465,-88.7221668999999,n209,209,MULTIFORM
209,"W7222 Cemetary Rd, Van Dyne, WI 54979",2185,0.0,30209210.217499997,19030.067757029556,-74502.28760510396,-169457.15130532143,0.0,24167.368174,1056176.5857912193,199528.9187253372,249823.0418582524,No,No,80365.89055293098,0.0,66213089.024553,66404754.285746105,dairy ,43.862695,-88.521648,n210,210,MULTIFORM
210,"N7223 County Road AB, Luxemburg, WI 54217",1502,0.0,20766239.700999998,13081.538567990114,-69008.53075355856,-131916.12503972085,0.0,16612.9917608,1053430.7707055672,136997.40837477337,187160.77840837179,No,No,55244.65336865096,0.0,45515816.8031481,45647151.5924214,dairy ,44.586233,-87.704374,n211,211,MULTIFORM
211,"7900 Old Elm Rd, Sturgeon Bay, WI 54235",7220,0.0,99821738.11000003,62881.96302322811,-140391.21050443305,29474.48699644822,0.0,79857.39048800003,3036638.8815824385,91480.51723974598,236082.3687436716,Yes,No,265556.8557401198,0.0,218791076.776784,219427491.56377,dairy ,44.736683899999996,-87.50275490000001,n212,212,CRYSTALACTOR
212,"1631 4th St, Almena, WI 54805",3010,0.0,41615433.755,26215.3336149469,-114896.9409310881,-243886.3912538769,0.0,33292.347004,1681176.5857912193,274540.3544640099,354596.3823588299,No,No,110709.991104953,0.0,91213454.445723,91477993.2637739,dairy ,45.443012,-92.07145600000001,n213,213,MULTIFORM
213,"N4646 Hill Road, Bryant, WI 544189703",2268,0.0,31356745.434000008,19752.949049401846,-75144.25969523247,-173950.95593622082,0.0,25085.39634720001,1056176.5857912193,207075.52377540973,257369.64690832494,No,No,83418.69097210412,0.0,68728277.3032889,68927274.0859598,dairy ,45.1957146,-89.0315902,n214,214,MULTIFORM
214,"5707 County Rd VV, Marshall, WI 53559",6083,0.0,84101888.2165,52979.36025904385,-173338.55794071045,-440918.84839082696,0.0,67281.5105732,2317353.1715824385,554305.8654333339,664656.0164610691,No,No,223737.1680702422,0.0,184336027.705426,184872009.481324,dairy ,43.161294899999994,-89.1700738999999,n215,215,MULTIFORM
215,"852 30th St, Chetek, WI 54728",980,0.0,13549210.990000002,8535.224897889688,-64717.07905587414,-103305.89640404619,0.0,10839.368792000001,1049140.9709612187,89391.91593175799,139351.00978705412,No,No,36045.11338300794,0.0,29697403.773026098,29782629.475414697,dairy ,45.330174,-91.5436359999999,n216,216,MULTIFORM
216,"E1411 Bolt Road, Denmark, WI 54208",1146,0.0,15844281.423000002,9980.987482634268,-66255.01190915205,-112641.49312887529,0.0,12675.425138400002,1053430.7707055672,104628.83731663103,154792.2073502295,No,No,42150.714221354196,0.0,34727780.3304978,34827669.075842105,dairy ,44.340053999999895,-87.697473,n217,217,MULTIFORM
217,"228525 Schairer Rd., Birnamwood, WI 54414",2381,0.0,32919052.4155,20737.112736607494,-76018.26989022667,-180069.0273011803,0.0,26335.2419324,1056176.5857912193,217349.81739779765,267643.9405307129,No,No,87574.91322953257,0.0,72152569.7791583,72361548.03082909,dairy ,44.9387999,-89.2586245,n218,218,MULTIFORM
218,"31553 Slow Lane, Lone Rock, WI 53556",2191,0.0,30292164.5705,19082.324235996228,-74548.6952260771,-169782.00465213347,0.0,24233.731656400003,1056176.5857912193,200074.4564398003,250368.5795727155,No,No,80586.57492058203,0.0,66394909.8639797,66587105.114677295,dairy ,43.2369755,-90.3019743999999,n219,219,MULTIFORM
219,"W3773 Old Dump Road, Bonduel, WI 54107",1930,0.0,26683650.215000007,16809.16740094602,-72318.9410496428,-155088.99711231052,0.0,21346.920172000006,1053430.7707055672,175912.43200647263,226075.80204007105,No,No,70986.80492776055,0.0,58485703.3489187,58654844.0561739,dairy ,44.7048817,-88.4132338,n220,220,MULTIFORM
220,"W2920 Faro Springs Rd, Hilbert, WI 54129",2316,0.0,32020380.258000005,20171.00088113522,-75515.5206630176,-176549.78271071683,0.0,25616.304206400007,1056176.5857912193,211439.8254911143,261733.9486240295,No,No,85184.16591331267,0.0,70182844.0187025,70386080.7174087,dairy ,44.123870200000006,-88.1870752,n221,221,MULTIFORM
221,"W2540 CTH S, Kaukauna, WI 54130",2165,0.0,29932695.707500003,18855.87949380732,-74347.5955351935,-168374.30681594808,0.0,23946.156566000005,1056176.5857912193,197710.45967712696,248004.58281004216,No,No,79630.2759940941,0.0,65607019.5597974,65796918.189309105,dairy ,44.388484999999996,-88.31450500000001,n222,222,MULTIFORM
222,"N3832 Hwy W, Eden, WI 53019",1659,0.0,22936878.604500003,14448.91643428469,-70222.8635023558,-140416.45428130165,0.0,18349.502883600002,1053430.7707055672,151272.31190322383,201435.68193682225,No,No,61019.227655520604,0.0,50273462.1014799,50418664.9494521,dairy ,43.68002,-88.2720289999999,n223,223,MULTIFORM
223,"S14111 County Road I, Eleva, WI 54738",1698,0.0,23476081.899000004,14788.583547568047,-70524.51303868125,-142528.0010355797,0.0,18780.865519200004,1053430.7707055672,154818.3070472338,204981.67708083225,No,No,62453.67604525254,0.0,51455297.557753295,51603945.3375043,dairy ,44.623206,-91.42537,n224,224,MULTIFORM
224,"E745 Luxemburg Rd, Luxemburg, WI 54217",1606,0.0,22204115.153,13987.317536745755,-69812.92951709304,-137546.91638446227,0.0,17763.292122400002,1053430.7707055672,146453.39542546665,196616.7654590651,No,No,59069.849074602826,0.0,48667378.0198774,48807899.293894,dairy ,44.514428,-87.7320359,n225,225,MULTIFORM
225,"W229 Cnty Rd ZZ, Kaukauna, WI 54130",1187,0.0,16411136.1685,10338.073422239857,-66572.13065246854,-114861.32433209062,0.0,13128.908934800002,1053430.7707055672,108356.67836546201,158520.04839906044,No,No,43658.72406696983,0.0,35970222.7332469,36073733.0735381,dairy ,44.312820200000004,-88.1992313,n226,226,MULTIFORM
226,"N8681 Bastian Rd, Brillion, WI 54110",4550,0.0,62907051.025,39627.82988305926,-126808.23031419491,-327265.4169356246,0.0,50325.64082,1681176.5857912193,414561.70117619867,494617.72907101864,No,No,167352.31213539402,0.0,137880803.231907,138281372.689426,dairy ,44.203571999999994,-88.106757,n227,227,MULTIFORM
227,"14421 Mineral Springs Rd, Newton, WI 53063",4011,0.0,55454984.98050001,34933.45618921994,-122639.27903010753,-298082.75794701296,0.0,44363.98798440001,1681176.5857912193,365554.22982693266,445610.2577217526,No,No,147527.49977473967,0.0,121547231.15674199,121900189.89044699,dairy ,43.940131799999996,-87.8681948,n228,228,MULTIFORM
