,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),Total manure (lbs/yr) ,Total manure method 2 (lbs/yr),Type,latitude,longitude,node ,number,tech_selected
95,"N49128 Cty Rd V, Strum, WI 54770",4930,0.0,68160826.715,42937.40688428181,-164420.56011037133,-378492.8635784533,0.0,54528.66137200001,2317353.1715824385,449471.7013040133,559821.8523317485,No,No,181328.98875329513,0.0,149396123.062264,149830258.521729,dairy ,44.5521577,-91.43247609999999,n96,96,MULTIFORM
96,"N6368 Willow Rd., Sheboygan Falls, WI 53085",1909,0.0,26393309.979500003,16626.26972456267,-72156.51437623681,-153952.01039846853,0.0,21114.647983600003,1053430.7707055672,174003.0500058519,224166.42003945034,No,No,70214.40964098182,0.0,57849330.41092529,58016616.154915005,dairy ,43.814004,-87.9189129999999,n97,97,MULTIFORM
97,"F2181 County Rd N, Colby, WI 54421",1983,0.0,27416413.666500006,17270.766298484956,-72728.8750349056,-157958.53500915,0.0,21933.130933200006,1053430.7707055672,180731.34848422988,230894.71851782833,No,No,72936.18350867832,0.0,60091787.43052111,60265609.711732104,dairy ,44.901881700000004,-90.1492212,n98,98,MULTIFORM
98,"E3730 Rockledge Rd, Algoma, WI 54201",1238,0.0,17116248.168999996,10782.253493456565,-66966.59543074024,-117622.57777999267,0.0,13692.998535199997,1053430.7707055672,112993.74893839813,163157.1189719966,No,No,45534.54119200391,0.0,37515699.8683738,37623715.1194525,dairy ,44.546913,-87.58098000000001,n99,99,MULTIFORM
99,"P.O. Box 87, Alma Center, WI 54611",1915,0.0,26476264.3325,16678.52620352934,-72202.92199720995,-154276.86374528048,0.0,21181.011466,1053430.7707055672,174548.5877203149,224711.95775391336,No,No,70435.09400863286,0.0,58031151.250352,58198966.9838462,dairy ,44.4371839,-90.9112579999999,n100,100,MULTIFORM
100,"N2957 Hickory Grove Rd, Cascade, WI 53011",1541,0.0,21305442.9955,13421.205681273475,-69310.18028988398,-134027.67179399886,0.0,17044.3543964,1053430.7707055672,140543.4035187833,190706.77355238172,No,No,56679.1017583829,0.0,46697652.2594216,46832431.9804736,dairy ,43.643958700000006,-88.0723222,n101,101,MULTIFORM
101,"PO Box 81, South Wayne, WI 53587",1600,0.0,22121160.8,13935.061057779087,-69766.5218961199,-137222.06303765025,0.0,17696.928640000002,1053430.7707055672,145907.8577110036,196071.22774460202,No,No,58849.16470695176,0.0,48485557.1804507,48625548.4649629,dairy ,42.5688955,-89.8798448,n102,102,MULTIFORM
102,"16639 Highway 23 North, Darlington, WI 53530",1192,0.0,16480264.796000004,10381.620488045415,-66610.80366994614,-115132.035454434,0.0,13184.211836800003,1053430.7707055672,108811.29312751458,158974.66316111304,No,No,43842.62770667904,0.0,36121740.0994358,36225692.097647294,dairy ,42.7354835,-90.12965340000001,n103,103,MULTIFORM
103,"S836 Subera Lane, Hillsboro, WI 54634",1463,0.0,20227036.4065,12741.871454706748,-68706.88121723312,-129804.57828544283,0.0,16181.629125200001,1053430.7707055672,133451.4132307634,183614.78326436185,No,No,53810.204978919,0.0,44333981.3468746,44461871.2043692,dairy ,43.700059100000004,-90.37353979999999,n104,104,MULTIFORM
104,"N477 Cty Rd Q, Markesan, WI 53946",1926,0.0,26628347.313,16774.32974830157,-72288.00263566071,-154872.42821443581,0.0,21302.6778504,1053430.7707055672,175548.74019683056,225712.11023042898,No,No,70839.68201599317,0.0,58364489.455967605,58533276.836886495,dairy ,43.646505,-88.9087327,n105,105,MULTIFORM
105,"N5701 Irish Rd, Hilbert, WI 54129",13277,0.0,183564157.46350002,115634.87854008302,-158966.11084288347,141270.94989103518,0.0,146851.3259708,3762101.1773736575,167919.09987980744,347066.77499283873,Yes,No,488337.72488387395,0.0,402339214.178028,403510653.369726,dairy ,44.097001,-88.147437,n106,106,CRYSTALACTOR
106,"W397 Man-Cal Road, Brillion, WI 54110",2931,0.0,40523201.4405,25527.289975219053,-114285.90725494169,-239609.15552085207,0.0,32418.5611524,1681176.5857912193,267357.44122357934,347413.4691183993,No,No,107804.31359754724,0.0,88819480.0599382,89077040.68284759,dairy ,44.238873,-88.057052,n107,107,MULTIFORM
107,"W1980 County Road C, Cecil, WI 54111",981,0.0,13563036.715499999,8543.9343110508,-64724.81365936967,-103360.03862851483,0.0,10850.429372399998,1049140.9709612187,89482.8388841685,139441.93273946462,No,No,36081.89411094979,0.0,29727707.2462639,29813021.2802366,dairy ,44.8398964,-88.34369240000001,n108,108,MULTIFORM
108,"W7560 Grogen Rd, Elkhart Lake, WI 53020",3447,0.0,47657275.798499994,30021.347166352803,-118276.96265863204,-267546.5433466844,0.0,38125.820638799996,1681176.5857912193,314273.68466740364,394329.7125622236,No,No,126783.16921553915,0.0,104456072.250634,104759211.97092299,dairy ,43.871617,-88.074069,n109,109,MULTIFORM
109,"N8133 Doyle Rd, Theresa, WI 53091",3608,0.0,49883217.604,31423.56268529183,-119522.23382141138,-276263.44148613996,0.0,39906.5740832,1681176.5857912193,328912.2800054962,408968.3079003162,No,No,132704.8664141762,0.0,109334931.441916,109652292.547241,dairy ,43.459701,-88.427915,n110,110,MULTIFORM
110,"W7867 County Road K, Ellsworth, WI 54011",1854,0.0,25632895.077000003,16147.252000701515,-71731.11118398301,-150974.1880526918,0.0,20506.316061600002,1053430.7707055672,169002.2876232737,219165.65765687212,No,No,68191.46960418034,0.0,56182639.3828473,56345066.889713205,dairy ,44.701189799999895,-92.5250762,n111,111,MULTIFORM
111,"E9195 910th Ave, Colfax, WI 54730",1135,0.0,15692198.4425,9885.183937862037,-66169.93127070127,-112045.92865971994,0.0,12553.758754,1053430.7707055672,103628.68484011538,153792.05487371382,No,No,41746.12621399389,0.0,34394442.1248822,34493359.2228018,dairy ,45.006425,-91.69952950000001,n112,112,MULTIFORM
112,"5503 Marken Road, Valders, WI 54323",1194,0.0,16507916.247000003,10399.039314367637,-66626.27287693719,-115240.31990337133,0.0,13206.332997600002,1053430.7707055672,108993.13903233562,159156.50906593405,No,No,43916.18916256274,0.0,36182347.0459114,36286475.707291,dairy ,44.0607901,-87.9050006,n113,113,MULTIFORM
