,AUs,kgPin/year
0,98.0,944.6896986457359
1,98.0,944.6896986457359
2,98.0,944.6896986457359
3,98.0,944.6896986457359
4,98.0,944.6896986457359
5,98.0,944.6896986457359
6,98.0,944.6896986457359
7,98.0,944.6896986457359
8,98.0,944.6896986457359
9,98.0,944.6896986457359
10,98.0,944.6896986457359
11,98.0,944.6896986457359
12,98.0,944.6896986457359
13,98.0,944.6896986457359
14,98.0,944.6896986457359
15,98.0,944.6896986457359
16,98.0,944.6896986457359
17,98.0,944.6896986457359
18,98.0,944.6896986457359
19,98.0,944.6896986457359
20,98.0,944.6896986457359
21,98.0,944.6896986457359
22,98.0,944.6896986457359
23,98.0,944.6896986457359
24,98.0,944.6896986457359
25,98.0,944.6896986457359
26,98.0,944.6896986457359
27,98.0,944.6896986457359
28,98.0,944.6896986457359
29,98.0,944.6896986457359
30,98.0,944.6896986457359
31,98.0,944.6896986457359
32,98.0,944.6896986457359
33,98.0,944.6896986457359
34,98.0,944.6896986457359
35,98.0,944.6896986457359
36,98.0,944.6896986457359
37,98.0,944.6896986457359
38,98.0,944.6896986457359
39,98.0,944.6896986457359
40,98.0,944.6896986457359
41,98.0,944.6896986457359
42,98.0,944.6896986457359
43,98.0,944.6896986457359
44,98.0,944.6896986457359
45,98.0,944.6896986457359
46,98.0,944.6896986457359
47,98.0,944.6896986457359
48,98.0,944.6896986457359
49,98.0,944.6896986457359
50,98.0,944.6896986457359
51,98.0,944.6896986457359
52,98.0,944.6896986457359
53,98.0,944.6896986457359
54,98.0,944.6896986457359
55,98.0,944.6896986457359
56,98.0,944.6896986457359
57,98.0,944.6896986457359
58,98.0,944.6896986457359
59,98.0,944.6896986457359
60,98.0,944.6896986457359
61,98.0,944.6896986457359
62,98.0,944.6896986457359
63,98.0,944.6896986457359
64,98.0,944.6896986457359
65,98.0,944.6896986457359
66,98.0,944.6896986457359
67,98.0,944.6896986457359
68,98.0,944.6896986457359
69,98.0,944.6896986457359
70,98.0,944.6896986457359
71,98.0,944.6896986457359
72,98.0,944.6896986457359
73,98.0,944.6896986457359
74,98.0,944.6896986457359
75,98.0,944.6896986457359
76,98.0,944.6896986457359
77,98.0,944.6896986457359
78,98.0,944.6896986457359
79,98.0,944.6896986457359
80,98.0,944.6896986457359
81,98.0,944.6896986457359
82,98.0,944.6896986457359
83,98.0,944.6896986457359
84,98.0,944.6896986457359
85,98.0,944.6896986457359
86,98.0,944.6896986457359
87,98.0,944.6896986457359
88,98.0,944.6896986457359
89,98.0,944.6896986457359
90,98.0,944.6896986457359
91,98.0,944.6896986457359
92,98.0,944.6896986457359
93,98.0,944.6896986457359
94,98.0,944.6896986457359
95,98.0,944.6896986457359
96,98.0,944.6896986457359
97,98.0,944.6896986457359
98,98.0,944.6896986457359
99,98.0,944.6896986457359
100,98.0,944.6896986457359
101,98.0,944.6896986457359
102,98.0,944.6896986457359
103,98.0,944.6896986457359
104,98.0,944.6896986457359
105,98.0,944.6896986457359
106,98.0,944.6896986457359
107,98.0,944.6896986457359
108,98.0,944.6896986457359
109,98.0,944.6896986457359
110,98.0,944.6896986457359
111,98.0,944.6896986457359
112,98.0,944.6896986457359
113,98.0,944.6896986457359
114,98.0,944.6896986457359
115,98.0,944.6896986457359
116,98.0,944.6896986457359
117,98.0,944.6896986457359
118,98.0,944.6896986457359
119,98.0,944.6896986457359
120,98.0,944.6896986457359
121,98.0,944.6896986457359
122,98.0,944.6896986457359
123,98.0,944.6896986457359
124,98.0,944.6896986457359
125,98.0,944.6896986457359
126,98.0,944.6896986457359
127,98.0,944.6896986457359
128,98.0,944.6896986457359
129,98.0,944.6896986457359
130,98.0,944.6896986457359
131,98.0,944.6896986457359
132,98.0,944.6896986457359
133,98.0,944.6896986457359
134,98.0,944.6896986457359
135,98.0,944.6896986457359
136,98.0,944.6896986457359
137,98.0,944.6896986457359
138,98.0,944.6896986457359
139,98.0,944.6896986457359
140,98.0,944.6896986457359
141,98.0,944.6896986457359
142,98.0,944.6896986457359
143,98.0,944.6896986457359
144,98.0,944.6896986457359
145,98.0,944.6896986457359
146,98.0,944.6896986457359
147,98.0,944.6896986457359
148,98.0,944.6896986457359
149,98.0,944.6896986457359
150,98.0,944.6896986457359
151,98.0,944.6896986457359
152,98.0,944.6896986457359
153,98.0,944.6896986457359
154,98.0,944.6896986457359
155,98.0,944.6896986457359
156,98.0,944.6896986457359
157,98.0,944.6896986457359
158,98.0,944.6896986457359
159,98.0,944.6896986457359
160,98.0,944.6896986457359
161,98.0,944.6896986457359
162,98.0,944.6896986457359
163,98.0,944.6896986457359
164,98.0,944.6896986457359
165,98.0,944.6896986457359
166,98.0,944.6896986457359
167,98.0,944.6896986457359
168,98.0,944.6896986457359
169,98.0,944.6896986457359
170,98.0,944.6896986457359
171,98.0,944.6896986457359
172,98.0,944.6896986457359
173,98.0,944.6896986457359
174,98.0,944.6896986457359
175,98.0,944.6896986457359
176,98.0,944.6896986457359
177,98.0,944.6896986457359
178,98.0,944.6896986457359
179,98.0,944.6896986457359
180,98.0,944.6896986457359
181,98.0,944.6896986457359
182,98.0,944.6896986457359
183,98.0,944.6896986457359
184,98.0,944.6896986457359
185,98.0,944.6896986457359
186,98.0,944.6896986457359
187,98.0,944.6896986457359
188,98.0,944.6896986457359
189,98.0,944.6896986457359
190,98.0,944.6896986457359
191,98.0,944.6896986457359
192,98.0,944.6896986457359
193,98.0,944.6896986457359
194,98.0,944.6896986457359
195,98.0,944.6896986457359
196,98.0,944.6896986457359
197,98.0,944.6896986457359
198,98.0,944.6896986457359
199,98.0,944.6896986457359
200,98.0,944.6896986457359
201,98.0,944.6896986457359
202,98.0,944.6896986457359
203,98.0,944.6896986457359
204,98.0,944.6896986457359
205,98.0,944.6896986457359
206,98.0,944.6896986457359
207,98.0,944.6896986457359
208,98.0,944.6896986457359
209,98.0,944.6896986457359
210,98.0,944.6896986457359
211,98.0,944.6896986457359
212,98.0,944.6896986457359
213,98.0,944.6896986457359
214,98.0,944.6896986457359
215,98.0,944.6896986457359
216,98.0,944.6896986457359
217,98.0,944.6896986457359
218,98.0,944.6896986457359
219,98.0,944.6896986457359
220,98.0,944.6896986457359
221,98.0,944.6896986457359
222,98.0,944.6896986457359
223,98.0,944.6896986457359
224,98.0,944.6896986457359
225,98.0,944.6896986457359
226,98.0,944.6896986457359
227,98.0,944.6896986457359
228,98.0,944.6896986457359
229,98.0,944.6896986457359
230,98.0,944.6896986457359
231,98.0,944.6896986457359
232,98.0,944.6896986457359
233,98.0,944.6896986457359
234,98.0,944.6896986457359
235,98.0,944.6896986457359
236,98.0,944.6896986457359
237,98.0,944.6896986457359
238,98.0,944.6896986457359
239,98.0,944.6896986457359
240,98.0,944.6896986457359
241,98.0,944.6896986457359
242,98.0,944.6896986457359
243,98.0,944.6896986457359
244,98.0,944.6896986457359
245,98.0,944.6896986457359
246,98.0,944.6896986457359
247,98.0,944.6896986457359
248,98.0,944.6896986457359
249,98.0,944.6896986457359
250,98.0,944.6896986457359
251,98.0,944.6896986457359
252,98.0,944.6896986457359
253,98.0,944.6896986457359
254,98.0,944.6896986457359
255,98.0,944.6896986457359
256,98.0,944.6896986457359
257,98.0,944.6896986457359
258,98.0,944.6896986457359
259,98.0,944.6896986457359
260,98.0,944.6896986457359
261,98.0,944.6896986457359
262,98.0,944.6896986457359
263,98.0,944.6896986457359
264,98.0,944.6896986457359
265,98.0,944.6896986457359
266,98.0,944.6896986457359
267,98.0,944.6896986457359
268,98.0,944.6896986457359
269,98.0,944.6896986457359
270,98.0,944.6896986457359
271,98.0,944.6896986457359
272,98.0,944.6896986457359
273,98.0,944.6896986457359
274,98.0,944.6896986457359
275,98.0,944.6896986457359
276,98.0,944.6896986457359
277,98.0,944.6896986457359
278,98.0,944.6896986457359
279,98.0,944.6896986457359
280,98.0,944.6896986457359
281,98.0,944.6896986457359
282,98.0,944.6896986457359
283,98.0,944.6896986457359
284,98.0,944.6896986457359
285,98.0,944.6896986457359
286,98.0,944.6896986457359
287,98.0,944.6896986457359
288,98.0,944.6896986457359
289,98.0,944.6896986457359
290,98.0,944.6896986457359
291,98.0,944.6896986457359
292,98.0,944.6896986457359
293,98.0,944.6896986457359
294,98.0,944.6896986457359
295,98.0,944.6896986457359
296,98.0,944.6896986457359
297,98.0,944.6896986457359
298,98.0,944.6896986457359
299,98.0,944.6896986457359
300,98.0,944.6896986457359
301,98.0,944.6896986457359
302,98.0,944.6896986457359
303,98.0,944.6896986457359
304,98.0,944.6896986457359
305,98.0,944.6896986457359
306,98.0,944.6896986457359
307,98.0,944.6896986457359
308,98.0,944.6896986457359
309,98.0,944.6896986457359
310,98.0,944.6896986457359
311,98.0,944.6896986457359
312,98.0,944.6896986457359
313,98.0,944.6896986457359
314,98.0,944.6896986457359
315,98.0,944.6896986457359
316,98.0,944.6896986457359
317,98.0,944.6896986457359
318,98.0,944.6896986457359
319,98.0,944.6896986457359
320,98.0,944.6896986457359
321,98.0,944.6896986457359
322,98.0,944.6896986457359
323,98.0,944.6896986457359
324,98.0,944.6896986457359
325,98.0,944.6896986457359
326,98.0,944.6896986457359
327,98.0,944.6896986457359
328,98.0,944.6896986457359
329,98.0,944.6896986457359
330,98.0,944.6896986457359
331,98.0,944.6896986457359
332,98.0,944.6896986457359
333,98.0,944.6896986457359
334,98.0,944.6896986457359
335,98.0,944.6896986457359
336,98.0,944.6896986457359
337,98.0,944.6896986457359
338,98.0,944.6896986457359
339,98.0,944.6896986457359
340,98.0,944.6896986457359
341,98.0,944.6896986457359
342,98.0,944.6896986457359
343,98.0,944.6896986457359
344,98.0,944.6896986457359
345,98.0,944.6896986457359
346,98.0,944.6896986457359
347,98.0,944.6896986457359
348,98.0,944.6896986457359
349,98.0,944.6896986457359
350,98.0,944.6896986457359
351,98.0,944.6896986457359
352,98.0,944.6896986457359
353,98.0,944.6896986457359
354,98.0,944.6896986457359
355,98.0,944.6896986457359
356,98.0,944.6896986457359
357,98.0,944.6896986457359
358,98.0,944.6896986457359
359,98.0,944.6896986457359
360,98.0,944.6896986457359
361,98.0,944.6896986457359
362,98.0,944.6896986457359
363,98.0,944.6896986457359
364,98.0,944.6896986457359
365,98.0,944.6896986457359
366,98.0,944.6896986457359
367,98.0,944.6896986457359
368,98.0,944.6896986457359
369,98.0,944.6896986457359
370,98.0,944.6896986457359
371,98.0,944.6896986457359
372,98.0,944.6896986457359
373,98.0,944.6896986457359
374,98.0,944.6896986457359
375,98.0,944.6896986457359
376,98.0,944.6896986457359
377,98.0,944.6896986457359
378,98.0,944.6896986457359
379,98.0,944.6896986457359
380,98.0,944.6896986457359
381,98.0,944.6896986457359
382,98.0,944.6896986457359
383,98.0,944.6896986457359
384,98.0,944.6896986457359
385,98.0,944.6896986457359
386,98.0,944.6896986457359
387,98.0,944.6896986457359
388,98.0,944.6896986457359
389,98.0,944.6896986457359
390,98.0,944.6896986457359
391,98.0,944.6896986457359
392,98.0,944.6896986457359
393,98.0,944.6896986457359
394,98.0,944.6896986457359
395,98.0,944.6896986457359
396,98.0,944.6896986457359
397,98.0,944.6896986457359
398,98.0,944.6896986457359
399,98.0,944.6896986457359
400,98.0,944.6896986457359
401,98.0,944.6896986457359
402,98.0,944.6896986457359
403,98.0,944.6896986457359
404,98.0,944.6896986457359
405,98.0,944.6896986457359
406,98.0,944.6896986457359
407,98.0,944.6896986457359
408,98.0,944.6896986457359
409,98.0,944.6896986457359
410,98.0,944.6896986457359
411,98.0,944.6896986457359
412,98.0,944.6896986457359
413,98.0,944.6896986457359
414,98.0,944.6896986457359
415,98.0,944.6896986457359
416,98.0,944.6896986457359
417,98.0,944.6896986457359
418,98.0,944.6896986457359
419,98.0,944.6896986457359
420,98.0,944.6896986457359
421,98.0,944.6896986457359
422,98.0,944.6896986457359
423,98.0,944.6896986457359
424,98.0,944.6896986457359
425,98.0,944.6896986457359
426,98.0,944.6896986457359
427,98.0,944.6896986457359
428,98.0,944.6896986457359
429,98.0,944.6896986457359
430,98.0,944.6896986457359
431,98.0,944.6896986457359
432,98.0,944.6896986457359
433,98.0,944.6896986457359
434,98.0,944.6896986457359
435,98.0,944.6896986457359
436,98.0,944.6896986457359
437,98.0,944.6896986457359
438,98.0,944.6896986457359
439,98.0,944.6896986457359
440,98.0,944.6896986457359
441,98.0,944.6896986457359
442,98.0,944.6896986457359
443,98.0,944.6896986457359
444,98.0,944.6896986457359
445,98.0,944.6896986457359
446,98.0,944.6896986457359
447,98.0,944.6896986457359
448,98.0,944.6896986457359
449,98.0,944.6896986457359
450,98.0,944.6896986457359
451,98.0,944.6896986457359
452,98.0,944.6896986457359
453,98.0,944.6896986457359
454,98.0,944.6896986457359
455,98.0,944.6896986457359
456,98.0,944.6896986457359
457,98.0,944.6896986457359
458,98.0,944.6896986457359
459,98.0,944.6896986457359
460,98.0,944.6896986457359
461,98.0,944.6896986457359
462,98.0,944.6896986457359
463,98.0,944.6896986457359
464,98.0,944.6896986457359
465,98.0,944.6896986457359
466,98.0,944.6896986457359
467,98.0,944.6896986457359
468,98.0,944.6896986457359
469,98.0,944.6896986457359
470,98.0,944.6896986457359
471,98.0,944.6896986457359
472,98.0,944.6896986457359
473,98.0,944.6896986457359
474,98.0,944.6896986457359
475,98.0,944.6896986457359
476,98.0,944.6896986457359
477,98.0,944.6896986457359
478,98.0,944.6896986457359
479,98.0,944.6896986457359
480,98.0,944.6896986457359
481,98.0,944.6896986457359
482,98.0,944.6896986457359
483,98.0,944.6896986457359
484,98.0,944.6896986457359
485,98.0,944.6896986457359
486,98.0,944.6896986457359
487,98.0,944.6896986457359
488,98.0,944.6896986457359
489,98.0,944.6896986457359
490,98.0,944.6896986457359
491,98.0,944.6896986457359
492,98.0,944.6896986457359
493,98.0,944.6896986457359
494,98.0,944.6896986457359
495,98.0,944.6896986457359
496,98.0,944.6896986457359
497,98.0,944.6896986457359
498,98.0,944.6896986457359
499,98.0,944.6896986457359
500,98.0,944.6896986457359
501,98.0,944.6896986457359
502,98.0,944.6896986457359
503,98.0,944.6896986457359
504,98.0,944.6896986457359
505,98.0,944.6896986457359
506,98.0,944.6896986457359
507,98.0,944.6896986457359
508,98.0,944.6896986457359
509,98.0,944.6896986457359
510,98.0,944.6896986457359
511,98.0,944.6896986457359
512,98.0,944.6896986457359
513,98.0,944.6896986457359
514,98.0,944.6896986457359
515,98.0,944.6896986457359
516,98.0,944.6896986457359
517,98.0,944.6896986457359
518,98.0,944.6896986457359
519,98.0,944.6896986457359
520,98.0,944.6896986457359
521,98.0,944.6896986457359
522,98.0,944.6896986457359
523,98.0,944.6896986457359
524,98.0,944.6896986457359
525,98.0,944.6896986457359
526,98.0,944.6896986457359
527,98.0,944.6896986457359
528,98.0,944.6896986457359
529,98.0,944.6896986457359
530,98.0,944.6896986457359
531,98.0,944.6896986457359
532,98.0,944.6896986457359
533,98.0,944.6896986457359
534,98.0,944.6896986457359
535,98.0,944.6896986457359
536,98.0,944.6896986457359
537,98.0,944.6896986457359
538,98.0,944.6896986457359
539,98.0,944.6896986457359
540,98.0,944.6896986457359
541,98.0,944.6896986457359
542,98.0,944.6896986457359
543,98.0,944.6896986457359
544,98.0,944.6896986457359
545,98.0,944.6896986457359
546,98.0,944.6896986457359
547,98.0,944.6896986457359
548,98.0,944.6896986457359
549,98.0,944.6896986457359
550,98.0,944.6896986457359
551,98.0,944.6896986457359
552,98.0,944.6896986457359
553,98.0,944.6896986457359
554,98.0,944.6896986457359
555,98.0,944.6896986457359
556,98.0,944.6896986457359
557,98.0,944.6896986457359
558,98.0,944.6896986457359
559,98.0,944.6896986457359
560,98.0,944.6896986457359
561,98.0,944.6896986457359
562,98.0,944.6896986457359
563,98.0,944.6896986457359
564,98.0,944.6896986457359
565,98.0,944.6896986457359
566,98.0,944.6896986457359
567,98.0,944.6896986457359
568,98.0,944.6896986457359
569,98.0,944.6896986457359
570,98.0,944.6896986457359
571,98.0,944.6896986457359
572,98.0,944.6896986457359
573,98.0,944.6896986457359
574,98.0,944.6896986457359
575,98.0,944.6896986457359
576,98.0,944.6896986457359
577,98.0,944.6896986457359
578,98.0,944.6896986457359
579,98.0,944.6896986457359
580,98.0,944.6896986457359
581,98.0,944.6896986457359
582,98.0,944.6896986457359
583,98.0,944.6896986457359
584,98.0,944.6896986457359
585,98.0,944.6896986457359
586,98.0,944.6896986457359
587,98.0,944.6896986457359
588,98.0,944.6896986457359
589,98.0,944.6896986457359
590,98.0,944.6896986457359
591,98.0,944.6896986457359
592,98.0,944.6896986457359
593,98.0,944.6896986457359
594,98.0,944.6896986457359
595,98.0,944.6896986457359
596,98.0,944.6896986457359
597,98.0,944.6896986457359
598,98.0,944.6896986457359
599,98.0,944.6896986457359
600,98.0,944.6896986457359
601,98.0,944.6896986457359
602,98.0,944.6896986457359
603,98.0,944.6896986457359
604,98.0,944.6896986457359
605,98.0,944.6896986457359
606,98.0,944.6896986457359
607,98.0,944.6896986457359
608,98.0,944.6896986457359
609,98.0,944.6896986457359
610,98.0,944.6896986457359
611,98.0,944.6896986457359
612,98.0,944.6896986457359
613,98.0,944.6896986457359
614,98.0,944.6896986457359
615,98.0,944.6896986457359
616,98.0,944.6896986457359
617,98.0,944.6896986457359
618,98.0,944.6896986457359
619,98.0,944.6896986457359
620,98.0,944.6896986457359
621,98.0,944.6896986457359
622,98.0,944.6896986457359
623,98.0,944.6896986457359
624,98.0,944.6896986457359
625,98.0,944.6896986457359
626,98.0,944.6896986457359
627,98.0,944.6896986457359
628,98.0,944.6896986457359
629,98.0,944.6896986457359
630,98.0,944.6896986457359
631,98.0,944.6896986457359
632,98.0,944.6896986457359
633,98.0,944.6896986457359
634,98.0,944.6896986457359
635,98.0,944.6896986457359
636,98.0,944.6896986457359
637,98.0,944.6896986457359
638,98.0,944.6896986457359
639,98.0,944.6896986457359
640,98.0,944.6896986457359
641,98.0,944.6896986457359
642,98.0,944.6896986457359
643,98.0,944.6896986457359
644,98.0,944.6896986457359
645,98.0,944.6896986457359
646,98.0,944.6896986457359
647,98.0,944.6896986457359
648,98.0,944.6896986457359
649,98.0,944.6896986457359
650,98.0,944.6896986457359
651,98.0,944.6896986457359
652,98.0,944.6896986457359
653,98.0,944.6896986457359
654,98.0,944.6896986457359
655,98.0,944.6896986457359
656,98.0,944.6896986457359
657,98.0,944.6896986457359
658,98.0,944.6896986457359
659,98.0,944.6896986457359
660,98.0,944.6896986457359
661,98.0,944.6896986457359
662,98.0,944.6896986457359
663,98.0,944.6896986457359
664,98.0,944.6896986457359
665,98.0,944.6896986457359
666,98.0,944.6896986457359
667,98.0,944.6896986457359
668,98.0,944.6896986457359
669,98.0,944.6896986457359
670,98.0,944.6896986457359
671,98.0,944.6896986457359
672,98.0,944.6896986457359
673,98.0,944.6896986457359
674,98.0,944.6896986457359
675,98.0,944.6896986457359
676,98.0,944.6896986457359
